,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
290,1,26,10,2,4,235,11,14,37,"265,017",88,0,3,1,0,0,1,88,172,29,4
308,22,23,10,5,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,16
527,6,23,10,2,4,189,29,13,33,"284,853",91,0,1,2,0,0,2,69,167,25,8
71,15,23,10,5,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,5
359,34,19,1,2,2,118,10,10,37,"330,061",100,0,1,0,0,0,0,83,172,28,32
199,14,12,4,4,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,24
67,28,23,10,6,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3
470,24,28,7,3,1,246,25,16,41,"230,290",92,0,1,0,1,0,0,67,170,23,2
164,17,11,3,2,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,40
609,25,25,2,2,2,235,16,8,32,"264,249",97,0,3,0,0,0,0,75,178,25,3
594,12,19,2,2,2,233,51,1,31,"264,249",97,0,2,1,1,0,8,68,178,21,2
558,22,13,12,6,4,179,26,9,30,"280,549",98,0,3,0,0,0,0,56,171,19,1
626,28,25,3,5,2,225,26,9,28,"222,196",99,0,1,1,0,0,2,69,169,24,2
13,3,11,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
17,3,21,7,2,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,8
25,10,25,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,7
351,3,28,12,6,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,1
282,20,28,9,6,1,260,50,11,36,"294,217",81,0,1,4,1,0,0,65,168,23,4
176,22,13,3,2,3,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,1
376,3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
27,30,28,8,4,1,157,27,6,29,"205,917",92,0,1,0,1,1,0,75,185,22,4
30,3,18,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,8
367,3,28,1,4,2,179,51,18,38,"330,061",100,0,1,0,1,0,0,89,170,31,1
119,28,28,1,5,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2
393,20,28,3,6,2,260,50,11,36,"244,387",98,0,1,4,1,0,0,65,168,23,4
105,10,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,8
240,18,26,7,3,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,8
517,13,23,10,3,4,369,17,12,31,"284,853",91,0,1,3,1,0,0,70,169,25,3
177,28,11,3,3,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,8
623,3,27,3,4,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,2
677,34,8,5,4,3,118,10,10,37,"237,656",99,0,1,0,0,0,0,83,172,28,3
217,3,11,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,1
295,22,1,10,2,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,8
303,5,0,10,6,4,235,20,13,43,"265,017",88,1,1,1,1,0,0,106,167,38,0
357,11,19,12,2,2,289,36,13,33,"236,629",93,0,1,2,1,0,1,90,172,30,8
440,22,23,5,4,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,3
267,1,19,8,5,1,235,11,14,37,"265,615",94,0,3,1,0,0,1,88,172,29,8
121,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
649,3,27,3,4,3,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,3
550,33,14,11,5,4,248,25,14,47,"268,519",93,0,1,2,0,0,1,86,165,32,4
687,34,28,5,3,3,118,10,10,37,"237,656",99,0,1,0,0,0,0,83,172,28,1
625,3,27,3,5,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,3
235,28,28,6,5,1,225,26,9,28,"377,550",94,0,1,1,0,0,2,69,169,24,2
392,24,28,3,6,2,246,25,16,41,"244,387",98,0,1,0,1,0,0,67,170,23,2
211,3,12,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,1
657,33,19,4,4,3,248,25,14,47,"246,288",91,0,1,2,0,0,1,86,165,32,8
548,15,0,11,3,4,291,31,12,40,"268,519",93,1,1,1,1,0,1,73,171,25,0
433,17,8,5,2,3,179,22,17,40,"246,074",99,0,2,2,0,1,0,63,170,22,3
524,28,13,10,5,4,225,26,9,28,"284,853",91,0,1,1,0,0,2,69,169,24,1
641,3,27,3,4,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,2
536,34,9,11,3,4,118,10,10,37,"268,519",93,0,1,0,0,0,0,83,172,28,8
518,28,23,10,3,4,225,26,9,28,"284,853",91,0,1,1,0,0,2,69,169,24,4
114,34,19,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
638,3,27,3,3,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,2
254,11,23,8,2,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,1
188,14,23,4,5,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,1
684,22,27,5,6,3,179,26,9,30,"237,656",99,0,3,0,0,0,0,56,171,19,2
247,11,26,7,4,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,8
418,3,28,4,4,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,8
323,14,11,11,2,4,155,12,14,34,"284,031",97,0,1,2,1,0,0,95,196,25,120
223,15,23,6,5,3,291,31,12,40,"377,550",94,0,1,1,1,0,1,73,171,25,4
165,14,1,3,2,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,16
666,22,27,4,6,3,179,26,9,30,"246,288",91,0,3,0,0,0,0,56,171,19,2
545,34,23,11,2,4,118,10,10,37,"268,519",93,0,1,0,0,0,0,83,172,28,8
613,33,23,2,3,2,248,25,14,47,"264,249",97,0,1,2,0,0,1,86,165,32,2
288,3,13,9,2,4,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,8
107,20,28,12,6,4,260,50,11,36,"261,306",97,0,1,4,1,0,0,65,168,23,3
631,3,27,3,4,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,2
499,15,28,9,5,1,291,31,12,40,"261,756",87,0,1,1,1,0,1,73,171,25,2
92,28,13,11,6,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3
456,22,21,6,4,1,179,26,9,30,"253,957",95,0,3,0,0,0,0,56,171,19,2
138,24,1,2,4,2,246,25,16,41,"302,585",99,0,1,0,1,0,0,67,170,23,8
28,11,18,8,4,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8
528,25,6,10,2,4,235,16,8,32,"284,853",91,0,3,0,0,0,0,75,178,25,8
587,33,1,2,4,2,248,25,14,47,"264,249",97,0,1,2,0,0,1,86,165,32,8
696,28,6,5,4,3,225,26,9,28,"237,656",99,0,1,1,0,0,2,69,169,24,3
340,3,28,12,2,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,2
234,32,28,6,2,1,289,48,29,49,"377,550",94,0,1,0,0,0,2,108,172,36,2
238,34,5,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,8
563,5,26,12,6,4,235,20,13,43,"280,549",98,0,1,1,1,0,0,106,167,38,8
551,5,0,11,5,4,235,20,13,43,"268,519",93,1,1,1,1,0,0,106,167,38,0
347,3,28,12,6,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,1
277,19,0,9,3,1,291,50,12,32,"294,217",81,1,1,0,1,0,0,65,169,23,0
38,2,28,8,6,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
398,3,28,3,2,2,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,16
632,3,27,3,5,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,3
656,10,19,4,3,3,361,52,3,28,"246,288",91,0,1,1,1,0,4,80,172,27,8
248,3,26,7,5,1,179,51,18,38,"275,312",98,0,1,0,1,0,0,89,170,31,8
32,1,23,8,5,1,235,11,14,37,"205,917",92,0,3,1,0,0,1,88,172,29,4
514,15,23,10,6,4,291,31,12,40,"284,853",91,0,1,1,1,0,1,73,171,25,1
585,3,13,2,3,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,8
132,27,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,2
328,1,25,11,5,4,235,11,14,37,"284,031",97,0,3,1,0,0,1,88,172,29,2
570,22,12,1,2,2,179,26,9,30,"313,532",96,0,3,0,0,0,0,56,171,19,24
640,9,25,3,4,2,228,14,16,58,"222,196",99,0,1,2,0,0,1,65,172,22,2
555,3,13,12,3,4,179,51,18,38,"280,549",98,0,1,0,1,0,0,89,170,31,32
378,24,26,2,5,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,8
639,11,23,3,4,2,289,36,13,33,"222,196",99,0,1,2,1,0,1,90,172,30,8
716,36,19,6,5,3,118,13,18,50,"275,089",96,0,1,1,1,0,0,98,178,31,3
58,13,0,9,4,4,369,17,12,31,"241,476",92,1,1,3,1,0,0,70,169,25,0
633,22,27,3,6,2,179,26,9,30,"222,196",99,0,3,0,0,0,0,56,171,19,2
617,25,25,2,6,2,235,16,8,32,"264,249",97,0,3,0,0,0,0,75,178,25,2
80,3,23,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,1
597,3,27,2,4,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,3
51,29,0,9,2,4,225,26,9,28,"241,476",92,1,1,1,0,0,2,69,169,24,0
711,36,19,6,5,3,118,13,18,50,"275,089",96,0,1,1,1,0,0,98,178,31,24
324,5,26,11,2,4,235,20,13,43,"284,031",97,0,1,1,1,0,0,106,167,38,8
85,14,10,11,2,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,32
366,36,26,1,2,2,118,13,18,50,"330,061",100,0,1,1,1,0,0,98,178,31,4
182,33,14,3,6,3,248,25,14,47,"343,253",95,0,1,2,0,0,1,86,165,32,3
607,3,27,2,6,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
695,17,10,5,4,3,179,22,17,40,"237,656",99,0,2,2,0,1,0,63,170,22,8
261,21,11,8,5,1,268,11,8,33,"265,615",94,0,2,0,0,0,0,79,178,25,8
644,22,23,3,6,2,179,26,9,30,"222,196",99,0,3,0,0,0,0,56,171,19,2
556,15,28,12,4,4,291,31,12,40,"280,549",98,0,1,1,1,0,1,73,171,25,1
6,10,22,7,6,1,361,52,3,28,"239,554",97,0,1,1,1,0,4,80,172,27,8
509,24,26,10,6,4,246,25,16,41,"284,853",91,0,1,0,1,0,0,67,170,23,8
88,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
386,3,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
673,22,27,4,6,3,179,26,9,30,"246,288",91,0,3,0,0,0,0,56,171,19,2
542,34,13,11,5,4,118,10,10,37,"268,519",93,0,1,0,0,0,0,83,172,28,2
539,28,23,11,6,4,225,26,9,28,"268,519",93,0,1,1,0,0,2,69,169,24,4
59,33,23,9,6,4,248,25,14,47,"241,476",92,0,1,2,0,0,1,86,165,32,1
117,28,27,1,4,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2
377,3,10,2,5,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,8
697,18,10,5,5,3,330,16,4,28,"237,656",99,0,2,0,0,0,0,84,182,25,8
660,13,7,4,2,3,369,17,12,31,"246,288",91,0,1,3,1,0,0,70,169,25,24
390,34,18,3,3,2,118,10,10,37,"244,387",98,0,1,0,0,0,0,83,172,28,8
100,36,23,12,4,4,118,13,18,50,"261,306",97,0,1,1,1,0,0,98,178,31,2
350,1,25,12,5,4,235,11,14,37,"236,629",93,0,3,1,0,0,1,88,172,29,2
490,1,23,8,3,1,235,11,14,37,"249,797",93,0,3,1,0,0,1,88,172,29,4
728,34,28,7,2,1,118,10,10,37,"264,604",93,0,1,0,0,0,0,83,172,28,4
421,26,28,4,6,3,300,26,13,43,"239,409",98,0,1,2,1,1,1,77,175,25,8
473,36,23,7,6,1,118,13,18,50,"230,290",92,0,1,1,1,0,0,98,178,31,1
669,22,27,4,6,3,179,26,9,30,"246,288",91,0,3,0,0,0,0,56,171,19,2
112,28,23,12,6,2,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2
481,17,25,8,2,1,179,22,17,40,"249,797",93,0,2,2,0,1,0,63,170,22,1
379,3,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
304,5,23,10,2,4,235,20,13,43,"265,017",88,0,1,1,1,0,0,106,167,38,2
315,22,7,10,4,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,5
382,24,23,2,3,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,2
493,15,28,8,5,1,291,31,12,40,"249,797",93,0,1,1,1,0,1,73,171,25,2
454,36,23,6,4,1,118,13,18,50,"253,957",95,0,1,1,1,0,0,98,178,31,2
287,15,7,9,2,4,291,31,12,40,"294,217",81,0,1,1,1,0,1,73,171,25,40
65,22,23,10,5,4,179,26,9,30,"253,465",93,0,3,0,0,0,0,56,171,19,1
627,22,27,3,6,2,179,26,9,30,"222,196",99,0,3,0,0,0,0,56,171,19,3
723,34,10,6,4,1,118,10,10,37,"275,089",96,0,1,0,0,0,0,83,172,28,3
447,15,13,6,2,3,291,31,12,40,"253,957",95,0,1,1,1,0,1,73,171,25,40
707,22,27,6,4,3,179,26,9,30,"275,089",96,0,3,0,0,0,0,56,171,19,3
147,28,23,2,3,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,2
78,10,23,10,6,4,361,52,3,28,"253,465",93,0,1,1,1,0,4,80,172,27,1
519,13,26,10,3,4,369,17,12,31,"284,853",91,0,1,3,1,0,0,70,169,25,8
174,28,23,3,4,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,2
430,10,23,5,5,3,361,52,3,28,"246,074",99,0,1,1,1,0,4,80,172,27,1
526,28,10,10,6,4,225,26,9,28,"284,853",91,0,1,1,0,0,2,69,169,24,3
699,15,28,5,5,3,291,31,12,40,"237,656",99,0,1,1,1,0,1,73,171,25,2
474,10,22,7,6,1,361,52,3,28,"230,290",92,0,1,1,1,0,4,80,172,27,8
511,15,28,10,4,4,291,31,12,40,"284,853",91,0,1,1,1,0,1,73,171,25,2
549,11,0,11,4,4,289,36,13,33,"268,519",93,1,1,2,1,0,1,90,172,30,0
370,3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
712,12,19,6,6,3,233,51,1,31,"275,089",96,0,2,1,1,0,8,68,178,21,8
679,22,13,5,5,3,179,26,9,30,"237,656",99,0,3,0,0,0,0,56,171,19,1
54,11,0,9,3,4,289,36,13,33,"241,476",92,1,1,2,1,0,1,90,172,30,0
29,3,23,8,6,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2
497,34,28,9,3,1,118,10,10,37,"261,756",87,0,1,0,0,0,0,83,172,28,3
168,11,6,3,5,2,289,36,13,33,"343,253",95,0,1,2,1,0,1,90,172,30,8
73,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3
279,24,9,9,4,1,246,25,16,41,"294,217",81,0,1,0,1,0,0,67,170,23,32
329,3,28,11,5,4,179,51,18,38,"284,031",97,0,1,0,1,0,0,89,170,31,3
344,20,28,12,6,4,260,50,11,36,"236,629",93,0,1,4,1,0,0,65,168,23,4
99,34,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,64
628,25,25,3,2,2,235,16,8,32,"222,196",99,0,3,0,0,0,0,75,178,25,3
689,22,27,5,4,3,179,26,9,30,"237,656",99,0,3,0,0,0,0,56,171,19,2
455,3,5,6,4,1,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,8
690,23,0,5,4,3,378,49,11,36,"237,656",99,1,1,2,0,1,4,65,174,21,0
488,17,25,8,3,1,179,22,17,40,"249,797",93,0,2,2,0,1,0,63,170,22,8
260,33,23,8,4,1,248,25,14,47,"265,615",94,0,1,2,0,0,1,86,165,32,1
417,18,23,4,4,3,330,16,4,28,"239,409",98,0,2,0,0,0,0,84,182,25,8
437,22,25,5,2,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,2
15,24,14,7,6,1,246,25,16,41,"239,554",97,0,1,0,1,0,0,67,170,23,8
610,3,27,2,2,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
500,22,23,9,6,1,179,26,9,30,"261,756",87,0,3,0,0,0,0,56,171,19,8
580,22,27,1,4,2,179,26,9,30,"313,532",96,0,3,0,0,0,0,56,171,19,2
383,15,23,2,3,2,291,31,12,40,"251,818",96,0,1,1,1,0,1,73,171,25,2
469,2,23,7,2,1,235,29,12,48,"230,290",92,0,1,1,0,1,5,88,163,33,1
61,20,23,9,6,4,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,4
403,36,14,3,3,3,118,13,18,50,"244,387",98,0,1,1,1,0,0,98,178,31,3
501,33,23,9,6,1,248,25,14,47,"261,756",87,0,1,2,0,0,1,86,165,32,1
525,13,10,10,6,4,369,17,12,31,"284,853",91,0,1,3,1,0,0,70,169,25,8
170,20,28,3,6,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,4
683,29,22,5,6,3,225,15,15,41,"237,656",99,0,4,2,1,0,2,94,182,28,8
397,23,22,3,3,2,378,49,11,36,"244,387",98,0,1,2,0,1,4,65,174,21,8
484,11,26,8,3,1,289,36,13,33,"249,797",93,0,1,2,1,0,1,90,172,30,8
149,27,23,2,3,2,184,42,7,27,"302,585",99,0,1,0,0,0,0,58,167,21,8
330,24,13,11,6,4,246,25,16,41,"284,031",97,0,1,0,1,0,0,67,170,23,8
106,28,28,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,3
658,6,13,4,5,3,189,29,13,33,"246,288",91,0,1,2,0,0,2,69,167,25,8
718,15,28,6,5,3,291,31,12,40,"275,089",96,0,1,1,1,0,1,73,171,25,2
190,20,28,4,6,3,260,50,11,36,"326,452",96,0,1,4,1,0,0,65,168,23,4
596,28,7,2,3,2,225,26,9,28,"264,249",97,0,1,1,0,0,2,69,169,24,8
624,28,27,3,5,2,225,26,9,28,"222,196",99,0,1,1,0,0,2,69,169,24,2
46,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3
148,22,23,2,3,2,179,26,9,30,"302,585",99,0,3,0,0,0,0,56,171,19,1
83,17,21,11,5,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,8
292,11,22,10,6,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,8
158,17,17,3,3,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,8
43,5,19,9,3,1,235,20,13,43,"241,476",92,0,1,1,1,0,0,106,167,38,8
2,3,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
431,20,28,5,6,3,260,50,11,36,"246,074",99,0,1,4,1,0,0,65,168,23,3
116,14,18,1,3,2,155,12,14,34,"308,593",95,0,1,2,1,0,0,95,196,25,8
310,10,10,10,2,4,361,52,3,28,"265,017",88,0,1,1,1,0,4,80,172,27,8
293,36,0,10,6,4,118,13,18,50,"265,017",88,1,1,1,1,0,0,98,178,31,0
487,3,25,8,2,1,179,51,18,38,"249,797",93,0,1,0,1,0,0,89,170,31,4
239,34,26,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,4
200,23,19,4,4,3,378,49,11,36,"326,452",96,0,1,2,0,1,4,65,174,21,8
144,31,11,2,2,2,388,15,9,50,"302,585",99,0,1,0,0,0,0,76,178,24,8
655,34,10,4,2,3,118,10,10,37,"246,288",91,0,1,0,0,0,0,83,172,28,8
693,25,10,5,2,3,235,16,8,32,"237,656",99,0,3,0,0,0,0,75,178,25,8
320,20,28,11,6,4,260,50,11,36,"284,031",97,0,1,4,1,0,0,65,168,23,3
186,14,28,4,3,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,1
133,34,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
420,36,13,4,4,3,118,13,18,50,"239,409",98,0,1,1,1,0,0,98,178,31,120
523,13,10,10,5,4,369,17,12,31,"284,853",91,0,1,3,1,0,0,70,169,25,8
218,36,13,5,4,3,118,13,18,50,"378,884",92,0,1,1,1,0,0,98,178,31,24
110,34,27,12,6,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,2
276,8,0,9,3,1,231,35,14,39,"294,217",81,1,1,2,1,0,2,100,170,35,0
636,3,27,3,2,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,3
255,9,18,8,3,1,228,14,16,58,"265,615",94,0,1,2,0,0,1,65,172,22,8
502,3,23,9,2,1,179,51,18,38,"261,756",87,0,1,0,1,0,0,89,170,31,4
314,22,1,10,4,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,5
69,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2
560,28,23,12,4,4,225,26,9,28,"280,549",98,0,1,1,0,0,2,69,169,24,3
360,14,23,1,2,2,155,12,14,34,"330,061",100,0,1,2,1,0,0,95,196,25,2
102,28,23,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2
312,15,0,10,3,4,291,31,12,40,"265,017",88,1,1,1,1,0,1,73,171,25,0
53,34,23,9,3,4,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,2
629,10,19,3,2,2,361,52,3,28,"222,196",99,0,1,1,1,0,4,80,172,27,8
12,20,11,7,4,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
720,34,25,6,2,1,118,10,10,37,"275,089",96,0,1,0,0,0,0,83,172,28,3
26,11,23,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,1
93,20,28,11,6,4,260,50,11,36,"306,345",93,0,1,4,1,0,0,65,168,23,4
214,18,0,5,4,3,330,16,4,28,"378,884",92,1,2,0,0,0,0,84,182,25,0
465,34,26,7,6,1,118,10,10,37,"230,290",92,0,1,0,0,0,0,83,172,28,8
566,28,23,12,3,4,225,26,9,28,"280,549",98,0,1,1,0,0,2,69,169,24,2
685,36,23,5,2,3,118,13,18,50,"237,656",99,0,1,1,1,0,0,98,178,31,2
96,11,7,11,4,4,289,36,13,33,"306,345",93,0,1,2,1,0,1,90,172,30,24
373,20,28,2,6,2,260,50,11,36,"251,818",96,0,1,4,1,0,0,65,168,23,3
361,1,13,1,3,2,235,11,14,37,"330,061",100,0,3,1,0,0,1,88,172,29,1
737,4,0,0,3,1,118,14,13,40,"271,219",95,0,1,1,1,0,8,98,170,34,0
443,34,28,6,3,3,118,10,10,37,"253,957",95,0,1,0,0,0,0,83,172,28,2
739,35,0,0,6,3,179,45,14,53,"271,219",95,0,1,1,0,0,1,77,175,25,0
510,32,14,10,4,4,289,48,29,49,"284,853",91,0,1,0,0,0,2,108,172,36,3
508,25,11,10,5,4,235,16,8,32,"284,853",91,0,3,0,0,0,0,75,178,25,3
309,36,28,10,5,4,118,13,18,50,"265,017",88,0,1,1,1,0,0,98,178,31,1
653,13,22,3,4,3,369,17,12,31,"222,196",99,0,1,3,1,0,0,70,169,25,8
20,18,10,8,4,1,330,16,4,28,"205,917",92,0,2,0,0,0,0,84,182,25,8
219,10,22,5,6,3,361,52,3,28,"378,884",92,0,1,1,1,0,4,80,172,27,8
450,3,28,6,2,3,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,4
48,20,22,9,6,1,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,8
31,2,18,8,5,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
459,1,13,6,3,1,235,11,14,37,"253,957",95,0,3,1,0,0,1,88,172,29,8
547,28,23,11,3,4,225,26,9,28,"268,519",93,0,1,1,0,0,2,69,169,24,2
674,1,22,5,2,3,235,11,14,37,"237,656",99,0,3,1,0,0,1,88,172,29,8
589,28,28,2,5,2,225,26,9,28,"264,249",97,0,1,1,0,0,2,69,169,24,3
688,36,0,5,3,3,118,13,18,50,"237,656",99,1,1,1,1,0,0,98,178,31,0
87,15,14,11,2,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,40
349,34,25,12,3,4,118,10,10,37,"236,629",93,0,1,0,0,0,0,83,172,28,8
369,34,28,2,3,2,118,10,10,37,"251,818",96,0,1,0,0,0,0,83,172,28,2
192,36,23,4,5,3,118,13,18,50,"326,452",96,0,1,1,1,0,0,98,178,31,1
263,36,13,8,5,1,118,13,18,50,"265,615",94,0,1,1,1,0,0,98,178,31,3
426,33,23,5,4,3,248,25,14,47,"246,074",99,0,1,2,0,0,1,86,165,32,2
76,28,28,10,3,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2
717,22,13,6,5,3,179,26,9,30,"275,089",96,0,3,0,0,0,0,56,171,19,2
70,33,23,10,4,4,248,25,14,47,"253,465",93,0,1,2,0,0,1,86,165,32,2
222,24,10,6,3,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,24
242,14,25,7,6,1,155,12,14,34,"275,312",98,0,1,2,1,0,0,95,196,25,2
423,3,28,4,2,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,4
208,28,19,5,3,3,225,26,9,28,"378,884",92,0,1,1,0,0,2,69,169,24,8
680,15,28,5,5,3,291,31,12,40,"237,656",99,0,1,1,1,0,1,73,171,25,2
667,28,19,4,2,3,225,26,9,28,"246,288",91,0,1,1,0,0,2,69,169,24,8
8,14,19,7,2,1,155,12,14,34,"239,554",97,0,1,2,1,0,0,95,196,25,40
731,34,23,7,4,1,118,10,10,37,"264,604",93,0,1,0,0,0,0,83,172,28,2
714,2,0,6,2,3,235,29,12,48,"275,089",96,1,1,1,0,1,5,88,163,33,0
245,30,25,7,2,1,157,27,6,29,"275,312",98,0,1,0,1,1,0,75,185,22,3
604,22,27,2,4,2,179,26,9,30,"264,249",97,0,3,0,0,0,0,56,171,19,2
291,11,26,10,2,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,8
345,24,4,12,5,4,246,25,16,41,"236,629",93,0,1,0,1,0,0,67,170,23,8
220,24,19,6,2,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,8
338,3,23,11,5,4,179,51,18,38,"284,031",97,0,1,0,1,0,0,89,170,31,1
709,34,10,6,4,3,118,10,10,37,"275,089",96,0,1,0,0,0,0,83,172,28,8
232,23,22,6,5,3,378,49,11,36,"377,550",94,0,1,2,0,1,4,65,174,21,8
194,24,14,4,6,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,8
104,34,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,56
704,14,10,5,6,3,155,12,14,34,"237,656",99,0,1,2,1,0,0,95,196,25,8
618,3,27,3,2,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,2
