,Atr1;Atr2;Atr3;Atr4;Atr5;Atr6;Atr7;Atr8;Atr9;Atr10;Atr11;Atr12;Atr13;Atr14;Atr15;Atr16;Atr17;Atr18;Atr19;Atr20;Atr21;Atr22;Atr23;Atr24;Atr25;Atr26;Atr27;Atr28;Atr29;Atr30;Atr31;Atr32;Atr33;Atr34;Atr35;Atr36;Atr37;Atr38;Atr39;Atr40;Atr41;Atr42;Atr43;Atr44;Atr45;Atr46;Atr47;Atr48;Atr49;Atr50;Atr51;Atr52;Atr53;Atr54;Class
120,0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;4;2;0;1;2;1;3;1;1;1;1;1;0;0
121,0;2;2;1;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;0;0;2;1;1;0;2;0;0;0;0;0;0;3;1;1;1;0;3;0;0
122,0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;2;0;1;0;0;0;2;0;1;2;1;3;3;2;2;2;2;0;0
123,0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;0;2;3;4;3;3;0;2;0
124,0;1;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;4;0;2;4;0;3;0;1;2;2;2;0;0
125,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;2;1;2;2;4;2;4;0;0;0;1;1;2;1;0;2;0
126,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;2;1;2;2;4;2;4;0;0;0;1;1;2;1;0;2;0
127,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;3;2;1;3;3;0;2;3;2;2;4;1;1;0
128,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;3;0;0;4;1;1;0;1;0;0;0;0;0;0;0;0;0;4;2;2;2;0
129,0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;4;0;4;1;4;2;3;2;2;0;0;0;0
130,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;1;0;1;2;2;2;2;2;2;2;2;0;1;0;0
131,0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;2;1;2;2;1;2;2;0;1;3;0;2;2;2;2;0;0;0;0
132,0;0;2;0;2;4;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;0;0;1;0;0;0;1;0;4;0;1;1;2;3;0;1;1;0;0;0;0
133,1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;2;1;0;1;0;0;1;0;0;0;1;0;2;0;0;2;1;2;2;2;2;2;1;0;0
134,1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;2;3;0;3;3;3;2;2;0
135,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;1;1;0;0;3;2;1;2;2;1;2;3;2;2;3;1;1;0
136,0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;2;3;0;1;0;2;0;0;0;0;0;2;3;1;2;1;2;1;2;2;0;0
137,0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;2;0;3;3;3;3;0;1;3;3;3;1;0
138,0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;2;0;3;3;3;3;0;1;3;3;3;1;0
139,3;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;0;3;3;2;2;0;2;2;0;0;4;0
140,0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;1;0;0;1;1;2;0;1;2;3;0;1;1;2;2;1;0;1;3;2;2;0
141,0;1;2;0;0;0;0;0;0;1;1;1;2;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;2;1;1;1;1;1;1;0
142,4;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;0;0;0
143,3;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;2;4;4;0;1;0;0;1;4;1;0;0
144,0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;2;2;3;0;3;2;0;2;4;0;0;1;0;0;0
145,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;3;4;0;4;3;4;3;1;3;3;0;1;0;0
146,2;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;2;0;0;1;0;2;1;2;1;3;1;3;1;1;3;0;0;0;0;0;0;0
147,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;0;4;0;0;0;0;0;0
148,0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;2;0;0;1;0;0;1;0;2;0;1;3;2;0;1;3;3;2;2;1;1;2;0;0;0
149,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;4;4;4;4;2;2;0;0;0;0
150,0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4;4;0;4;4;4;3;1;1;1;2;0;1;0
151,0;1;1;1;1;0;0;0;0;0;1;1;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;3;1;2;1;2;2;2;2;1;0
152,1;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;4;1;0;2;1;2;1;2;2;4;2;0;0
153,2;2;3;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;1;1;1;1;1;1;1;1;0
154,1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;0;2;1;2;2;2;2;3;0
155,2;1;0;2;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;3;0;2;2;2;2;2;2;1;0
156,0;0;1;1;0;0;0;0;0;2;1;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;0;2;0;0;1;1;1;1;0;2;2;0;0;2;1;2;1;2;2;1;0;0;0
157,0;1;0;0;0;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;1;3;3;2;0;0;0;4;4;2;0
158,0;1;0;1;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;1;0;0;0;0;1;1;2;1;0;2;2;2;1;0;1;3;2;2;2;1;0;0;0
159,0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;1;1;2;1;1;3;2;0;2;1;2;3;2;2;2;1;1;0;0
160,2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;2;1;0;0;3;2;2;1;1;1;1;2;1;0
161,1;1;2;0;2;1;0;2;1;2;1;1;2;0;2;1;2;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;2;0;1;1;0
162,0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;4;4;4;2;2;2;2;4;2;2;0
163,2;0;1;0;0;0;0;0;0;2;1;0;1;0;2;2;1;0;0;0;1;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;2;2;1;0;0;2;2;1;2;3;0;2;0;0;2;1;0;0;0
164,2;1;1;0;0;2;0;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;2;2;0;0;0;0;0;0;1;0;1;2;0;1;0;3;1;1;3;1;1;1;0
165,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;3;4;0;0;4;0;1;0;1;0;0;0;0;1;0;4;1;1;4;2;2;2;0
166,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;3;1;3;4;1;2;2;2;2;3;2;2;0
167,1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;2;1;3;3;0;2;3;0;2;0;1;1;3;0;0;0
168,0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;1;2;1;1;0;4;3;3;2;2;3;2;4;3;1;0
169,0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;2;0;1;3;4;4;0;1;3;3;3;1;0
