,20140101_N,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,class
1626,634.116,8186.84,6471.06,8186.84,953.785,7490.34,7674.09,7853.58,1249.28,3830.36,7609.8,7789.8,6634.49,8170.14,6317.08,1570.63,5616.13,649.925,4620.6,8123.65,1732.24,2526.9,2599.79,1387.67,1448.3,806.794,7380.3,743.6419999999999,forest
3841,874.574,8100.39,6548.95,1148.43,673.834,8040.32,305.457,4749.98,1759.59,8040.33,7990.38,8100.39,7019.55,3593.88,427.29400000000004,3083.74,3376.51,1545.93,3338.9,6337.04,1370.38,3413.21,536.242,907.1669999999999,5826.57,465.596,7515.49,2534.26,forest
4470,2614.8,8121.12,7674.03,7138.11,7550.05,8121.12,268.60400000000004,1199.61,6515.05,7633.13,657.495,303.622,583.19,1320.44,826.93,896.4780000000001,302.024,1435.06,3290.97,543.985,1394.78,381.837,7232.52,347.70300000000003,7645.24,543.039,7122.94,353.05400000000003,forest
3026,3729.25,8187.98,1070.46,5621.48,7876.04,6373.49,6612.26,4576.26,7085.6,6825.33,7581.48,1724.75,1038.5,8187.98,737.8639999999999,2348.46,703.541,648.065,4193.49,6207.77,6029.07,4133.2,1083.18,945.0369999999999,672.698,688.062,7350.03,4156.59,forest
2723,592.259,8091.08,6930.5,7745.38,635.456,6200.78,6052.45,6702.43,6317.2,5978.97,6973.78,6970.16,515.492,1706.81,4729.39,7823.68,7157.63,526.77,5596.85,8091.08,653.206,1990.98,2879.09,5169.91,4302.05,6631.0,6973.06,5942.06,forest
7913,884.067,2586.87,2328.58,1428.27,1410.09,1169.82,2109.51,1582.89,2347.41,2280.96,2415.24,1976.94,557.111,1952.31,1843.11,1877.7,877.2360000000001,685.982,1527.52,2586.87,1257.08,1498.03,1634.12,1408.57,1289.71,1961.05,1786.45,1409.14,impervious
264,1154.93,8066.32,6969.6,7331.67,2135.11,7489.42,622.341,5557.54,6743.12,645.7769999999999,990.1139999999999,7592.42,5689.76,6347.95,6451.47,316.277,4959.29,2437.65,4324.26,7586.68,5073.07,4251.65,6820.39,6006.17,613.408,3231.7,8066.32,1052.77,forest
10005,2814.37,8133.7,2760.03,3285.93,2807.25,3909.06,3044.84,7232.28,7700.98,8133.7,2610.88,5163.56,1468.58,2674.96,4210.88,1185.78,125.68299999999999,1400.31,2673.23,1827.86,3772.38,3432.88,4015.19,2851.66,1071.73,2575.62,7769.77,472.902,farm
569,1874.2,7874.56,7499.62,7037.96,3293.69,5455.13,527.2330000000001,7874.56,2004.65,1039.87,7868.3,7405.31,459.15,789.321,315.672,6005.97,868.811,1453.66,5357.8,7661.92,891.313,2148.65,6915.57,1448.14,430.704,692.395,7862.02,2015.37,forest
1010,570.0509999999999,7830.87,3740.78,7830.87,2859.8,1422.76,7220.33,7392.68,5343.17,7517.4,6205.18,7273.37,4278.98,7821.48,2918.56,1870.09,4649.45,981.558,761.495,7630.67,3546.05,3596.93,1854.19,2176.78,5161.76,3957.78,6918.73,6987.32,forest
5689,1420.11,7501.2,3161.82,6668.69,651.656,1073.77,1238.88,6367.56,1055.55,600.5369999999999,1057.23,7501.2,6407.48,1898.8,592.175,756.4019999999999,446.528,3590.17,1136.27,1495.76,665.4060000000001,5115.13,6080.66,321.664,2770.68,608.355,7155.74,617.07,forest
8346,2476.88,2476.88,1324.51,2329.03,569.261,668.6139999999999,1067.76,937.153,1423.14,631.0840000000001,235.035,635.8240000000001,800.745,1217.57,1847.32,1686.3,2301.67,1440.01,1963.41,1635.36,2045.89,1353.29,1396.11,1666.98,745.4580000000001,524.432,577.5269999999999,208.845,impervious
9599,681.2760000000001,8430.74,7866.85,5983.79,8196.42,7897.19,1308.8,7900.6,2955.57,5421.09,1238.02,7968.83,523.264,1565.87,701.686,1137.15,3059.73,1160.12,7395.71,5976.63,6124.57,8430.74,7014.24,1246.17,2125.4,409.028,7745.99,1821.77,impervious
1646,2189.76,8208.53,7777.21,8208.53,7461.35,6952.22,4679.5,6755.77,956.8439999999999,7284.48,7190.51,7103.69,3034.45,6797.9,7493.99,7325.82,5705.76,457.73900000000003,3149.94,7673.39,6331.22,3119.29,478.51599999999996,870.916,669.302,1838.41,6154.13,6743.34,forest
7629,381.751,1522.31,856.4989999999999,847.177,347.12,1058.58,638.126,1083.63,1238.08,1047.52,1006.47,1020.52,192.86,1522.31,402.316,853.5260000000001,1272.36,628.559,608.965,830.596,1170.23,1136.37,-173.229,304.725,380.97900000000004,303.638,988.477,1243.78,impervious
9014,870.1410000000001,7507.2,4079.67,3812.89,4521.27,7467.73,2755.57,7507.2,285.697,2388.84,3474.21,4773.25,406.17699999999996,2564.13,4161.23,401.088,1233.92,1844.69,3727.36,3915.31,3576.73,3131.22,5067.03,3115.5,988.257,967.291,2732.92,3206.22,farm
5849,7503.82,7834.53,4599.46,7756.31,5953.84,7834.53,773.2510000000001,7596.06,6988.78,1362.14,5938.14,7405.67,955.127,1921.5,4036.86,860.075,2134.66,3102.17,4327.04,580.924,4682.82,324.408,7144.4,371.615,5061.91,3322.73,6853.68,1953.97,forest
2968,4609.72,7909.34,7861.3,7290.13,1896.29,6704.82,7014.71,7183.83,447.659,7609.44,7163.92,7396.89,7506.23,7663.35,6951.37,6117.94,6693.09,901.9730000000001,3883.99,7909.34,4952.71,2769.46,2402.75,4022.02,6840.59,7049.2,7251.02,2779.75,forest
9911,384.755,1617.63,1480.36,514.538,308.723,554.814,795.428,1428.57,615.45,416.3,1501.29,1319.72,372.431,787.92,322.492,588.401,1309.7,1522.09,828.2139999999999,1466.32,1341.58,264.776,684.775,367.223,335.246,332.702,937.971,1617.63,impervious
9184,913.328,6911.76,5084.42,3282.4,3219.79,966.571,1198.21,6911.76,5713.68,5617.42,2574.55,699.924,1472.21,1838.98,1883.99,3407.66,611.321,1135.07,4419.2,4583.99,3982.89,3810.91,4034.23,1590.38,1151.89,305.70599999999996,5145.84,427.1,farm
6248,449.709,8421.4,7949.8,3878.9,8421.4,8350.74,240.61599999999999,7693.6,1067.34,3274.84,628.422,271.57599999999996,775.153,628.6030000000001,375.723,964.541,569.693,1087.59,3205.91,739.725,6597.48,8172.55,744.155,231.74900000000002,1600.36,450.395,7226.25,350.14599999999996,forest
8630,2286.42,7407.67,2400.78,5956.88,1194.35,2885.0,2109.95,6366.0,7019.84,4647.52,6710.28,2996.57,1202.24,2598.22,3081.95,861.44,144.911,977.066,2456.03,1772.23,5549.6,5421.46,3457.26,1834.55,4418.21,5693.72,7407.67,658.3,farm
7337,3884.21,7809.25,3730.73,4854.46,7618.8,6596.97,301.622,7809.25,7360.23,630.322,7302.36,7251.59,5514.34,499.06300000000005,5670.66,931.302,325.884,3901.31,4101.51,5036.15,788.1010000000001,399.531,1382.99,745.1519999999999,1235.54,4797.12,6855.44,3181.77,forest
7651,-1398.7,712.4810000000001,-318.798,-1097.91,300.552,-1328.86,508.48699999999997,-1809.25,-1574.97,712.4810000000001,-2810.35,-1311.61,323.619,413.51,-86.01799999999999,397.605,-393.462,-241.449,559.4580000000001,-1520.36,-300.103,-2223.04,-958.382,383.906,365.139,385.471,-1330.6,430.04400000000004,farm
8466,7050.63,7234.54,5708.31,1757.4,2053.39,4263.95,713.002,2666.5,4077.92,7086.99,966.638,7234.54,1120.1,1784.0,1755.46,961.988,79.7912,908.847,5918.01,3935.74,2268.58,2994.63,5527.17,1268.15,760.7860000000001,1254.19,4384.54,472.42900000000003,farm
7823,6835.44,7552.93,6540.3,2861.54,6120.78,699.065,5460.08,464.29,2280.41,7360.83,5816.31,7552.93,4791.52,999.8330000000001,4917.86,1264.05,374.719,1384.0,4384.64,4634.88,4863.16,6519.7,5842.35,609.097,4761.34,1598.52,7084.3,5357.66,farm
9544,431.157,1301.54,295.753,-207.132,-36.457,10.0807,51.8943,52.8406,288.618,76.4424,314.187,228.965,629.825,113.258,309.812,277.785,554.557,608.154,1166.39,577.818,913.8689999999999,413.26,886.967,1301.54,1044.15,743.6519999999999,-24.0629,155.19899999999998,impervious
2084,1389.81,7802.27,5193.39,6985.27,3829.36,3987.75,1442.63,6974.79,6725.22,7447.24,7252.21,7515.88,1080.66,5290.8,1704.46,4428.58,5477.14,533.144,3326.84,7802.27,2711.47,3692.68,138.327,4894.84,951.921,2230.36,5835.74,1533.88,forest
8890,4599.0,6889.83,5655.44,3431.53,917.255,3885.75,681.941,6686.51,291.018,6889.83,1021.33,544.962,285.02299999999997,1046.49,1706.71,675.977,6464.21,2574.09,3781.8,1974.65,3092.96,847.5930000000001,3979.31,369.99800000000005,1213.65,619.8340000000001,6713.99,926.9760000000001,farm
699,732.049,7771.38,7771.38,6712.05,7352.06,5587.15,5393.84,5974.44,637.253,6613.12,7024.74,7277.19,4105.04,7123.26,6081.27,4761.58,4652.18,998.4069999999999,3142.32,5646.19,451.866,1787.91,3888.77,4521.63,4556.63,4679.21,4975.76,5099.41,forest
6646,498.408,7472.22,6426.39,1371.28,7472.22,7101.58,657.572,710.585,415.023,4947.54,1463.58,3752.83,423.75800000000004,1845.2,422.30699999999996,1010.97,358.327,2270.87,1048.0,6484.19,6154.65,470.208,3009.98,473.845,1379.49,410.56,4451.68,959.676,forest
8421,3447.89,6607.56,5525.07,6533.32,6607.56,2977.66,2678.76,5529.21,5483.55,5857.66,2488.72,638.251,1929.06,3566.63,366.0,3010.89,534.71,829.2769999999999,3953.04,4613.57,3355.03,4434.51,5058.85,2494.44,1603.0,582.297,5560.69,430.097,impervious
4808,473.85400000000004,7883.51,7739.23,689.4689999999999,6117.87,7883.51,375.23900000000003,488.73,440.47900000000004,7753.58,7535.14,1452.44,309.85900000000004,6086.26,221.19400000000002,958.929,468.80400000000003,1452.06,998.454,7713.27,4309.52,664.3530000000001,4280.57,378.865,714.828,331.912,7050.24,737.9739999999999,forest
9659,481.168,7051.11,6241.83,5412.12,5861.79,4691.36,4690.07,4584.37,4860.34,3885.8,5112.37,3571.19,1567.78,3899.02,4659.66,4392.12,2496.86,629.539,2874.56,7051.11,4981.67,2281.48,3496.08,3699.24,244.137,654.5840000000001,5580.22,3921.83,farm
9857,2779.38,6666.67,4249.06,6511.5,404.98800000000006,3343.95,2118.71,6651.64,5777.97,3033.86,3527.52,2628.17,476.82,2097.29,1078.41,728.857,63.0503,919.472,5851.97,6666.67,6145.12,6385.9,5911.47,1058.36,2532.86,698.2639999999999,2272.1,512.372,farm
4922,4726.63,7874.72,6643.24,7459.41,6871.97,7821.74,2497.88,7829.83,1169.66,7616.5,7839.67,7874.72,5307.42,731.75,2978.9,730.9019999999999,694.368,3523.8,2194.89,1225.75,3654.26,5473.52,488.015,466.555,514.326,996.258,7551.1,1880.73,forest
6841,487.805,7421.65,6622.46,6569.38,641.557,6286.13,1782.55,7037.04,6258.91,6938.73,6896.75,7421.65,1296.04,5140.5,474.631,933.352,383.462,2898.86,944.747,5405.02,4929.49,1586.72,2142.63,1353.05,4076.15,5763.44,7341.09,4507.37,forest
5223,7126.7,7770.65,5197.96,7521.01,1326.28,1392.45,406.582,796.7819999999999,7611.6,1872.97,5942.95,7620.94,6884.11,424.517,2419.51,1127.25,2758.4,2955.99,4906.6,7770.65,3192.66,1398.5,694.44,1530.81,1148.26,1752.48,7252.04,1632.3,forest
4675,7791.09,7791.09,2876.62,1509.33,679.433,1270.52,520.194,577.784,6932.3,7339.32,7254.9,7052.91,6901.18,457.39599999999996,5695.18,1306.51,1597.9,2675.82,3385.2,7574.85,677.216,5524.61,632.726,1016.28,614.07,2126.37,6596.08,4116.11,forest
9789,704.762,6902.84,5461.69,3862.89,2511.28,1702.44,778.628,6902.84,5099.87,3144.76,1983.12,2149.39,-1887.09,5049.47,2057.54,650.211,1478.08,1129.21,5036.41,4431.54,3541.17,4490.16,6108.05,6862.6,658.414,307.17900000000003,2487.88,2502.97,farm
6918,1267.94,7519.47,448.189,996.313,1397.59,1064.54,525.568,7519.47,7143.04,1582.97,2336.23,7029.95,742.113,455.603,699.433,738.9960000000001,845.5310000000001,2700.72,1065.67,1445.51,861.1139999999999,450.05699999999996,5897.44,397.38,832.7689999999999,4641.51,6838.24,1280.21,forest
9532,2826.3,6501.38,5875.73,6428.25,5851.25,6501.38,2679.83,1345.05,4014.66,4264.17,2887.59,1442.69,432.92800000000005,779.7230000000001,420.853,792.6560000000001,594.178,644.9159999999999,5701.98,5087.96,3962.74,5039.28,4235.2,3308.03,5816.08,283.265,6205.81,1054.75,farm
5193,2766.84,7738.95,2726.42,2173.97,905.0980000000001,1271.97,679.574,1638.86,628.639,3902.26,6636.91,6645.79,5556.91,392.171,2302.94,1123.47,1232.26,2975.39,6036.16,7738.95,963.677,6374.44,6664.88,386.155,3193.01,2917.74,6084.19,2988.66,forest
9993,1119.72,7034.74,6116.53,5888.67,7034.74,7027.15,1087.52,6302.8,5875.38,6403.51,2937.5,6060.85,6335.86,5744.6,4774.53,505.491,5003.83,1424.81,4253.66,6363.87,5356.58,5903.42,5381.41,4488.74,561.572,480.099,6322.8,5230.51,impervious
1879,967.567,8164.21,5575.38,8086.39,6550.47,7677.62,7662.72,7171.62,375.80300000000005,7582.28,4514.56,7157.29,787.37,7707.95,6392.38,2056.87,5247.93,675.318,3453.01,8164.21,4963.67,2181.79,1032.45,2057.54,4379.56,6118.94,7460.83,1835.77,forest
2581,4051.07,8261.45,7898.01,7609.28,2665.32,6891.69,7237.38,5243.78,420.711,7757.95,1759.05,7964.43,2144.52,8261.45,7200.99,3504.25,7632.88,531.136,4329.16,5397.59,6177.31,2354.5,4833.03,1975.78,5245.73,6123.77,7726.41,1091.3,forest
5420,1885.76,6120.54,5204.46,4644.8,1113.4,3397.0,3169.49,3494.42,1274.47,5124.58,4484.17,5670.94,6120.54,2389.0,747.038,1250.46,319.77299999999997,3441.29,643.682,1493.38,2221.69,1290.93,2801.74,394.861,2037.65,459.598,2411.12,573.033,forest
6394,472.954,8168.91,791.985,4887.63,8168.91,1799.32,270.77099999999996,6856.01,1109.15,4963.19,650.929,2475.04,244.03599999999997,1153.36,379.25199999999995,1094.52,519.012,1752.55,1290.06,838.216,606.1469999999999,511.86199999999997,5933.76,363.969,1052.01,435.418,5957.11,380.871,forest
2611,1941.88,8540.37,8017.55,8540.37,8466.28,8120.54,8068.38,8119.98,1576.84,7478.43,7383.77,7313.66,2651.24,8283.32,4011.93,8002.13,7534.85,565.9159999999999,2680.92,8421.91,183.266,3376.56,1957.65,5552.5,7936.68,2872.04,7747.78,7651.01,forest
7530,952.1260000000001,7618.37,7550.1,7123.01,1942.65,6457.27,6370.61,6160.48,5131.47,872.2080000000001,7278.04,7151.84,7219.44,1065.17,4173.5,1577.77,423.744,1642.47,5224.59,7485.71,4458.36,7618.37,5703.81,307.413,6303.76,593.839,6267.35,6268.06,forest
3236,752.99,7908.0,2762.37,7826.06,478.38199999999995,4529.0,7571.22,1842.07,7546.14,2168.75,3331.92,7908.0,346.726,2452.52,4544.53,1791.51,4718.97,428.435,5049.28,7768.94,316.827,1700.12,1013.18,7410.2,4672.09,7769.98,7848.01,7714.62,forest
1731,3828.81,7979.29,7627.13,7905.94,6958.22,6782.84,1747.64,6825.95,5008.22,7281.82,6789.2,7472.39,2240.21,7704.2,893.578,7979.29,4386.1,476.975,3253.22,7795.49,1185.43,2820.9,1683.3,730.5010000000001,1017.74,4724.78,6668.5,6978.5,forest
3389,2491.5,7876.16,7764.08,2158.71,849.89,1204.16,6149.24,6674.51,5817.48,1372.42,7286.97,4617.13,785.669,4618.13,1546.17,7876.16,1384.61,2582.16,4311.17,4769.24,4746.22,735.923,1307.77,434.967,750.4789999999999,5323.87,6742.46,2029.92,forest
6354,1115.36,7634.2,5427.23,3678.43,6315.72,6434.24,5939.38,1396.0,288.31,805.672,7634.2,6701.74,2080.14,798.825,2153.77,1730.45,350.843,2998.08,2463.54,6762.33,5832.04,623.741,5656.29,789.855,6615.21,3794.94,5932.06,2854.07,forest
6932,1197.61,7853.61,7500.32,2867.88,1172.44,7493.31,7701.12,7638.61,4488.49,1547.67,778.916,7853.61,5242.0,787.8789999999999,417.074,1019.16,443.85699999999997,3984.17,680.301,7141.15,1638.83,7614.36,1130.03,323.64,2091.17,448.01800000000003,7171.15,647.321,forest
9878,435.051,6072.6,4604.83,4127.98,3460.18,3101.55,2804.19,2039.88,3722.71,3575.03,2839.44,5124.32,3499.26,4797.03,5099.27,6072.6,5064.75,1072.48,2826.01,5301.18,3832.75,3669.48,378.39099999999996,3244.31,4300.47,3070.03,3164.51,4505.82,impervious
2331,607.7330000000001,8120.85,2252.54,7990.85,7912.85,7456.52,7699.88,7890.62,5630.09,8005.82,6326.42,3820.2,1830.51,7645.63,6231.17,2669.74,1199.69,560.809,4899.06,8120.85,7143.12,2174.64,5778.69,1577.99,7161.29,5819.99,8014.34,1067.08,forest
8912,2949.52,5831.55,4735.56,2302.92,3517.3,5831.55,743.15,4133.98,267.15,3226.93,599.729,717.6139999999999,498.233,588.452,777.924,626.0319999999999,1401.75,2760.69,3206.08,2328.03,2962.13,3825.73,4672.27,411.816,3810.77,608.653,2308.85,538.189,farm
8587,1715.99,7412.25,2770.49,3142.44,6548.6,7311.07,4940.91,7412.25,5894.72,3736.7,1972.44,-190.763,1057.71,3422.7,4791.81,785.585,137.22799999999998,1167.17,1577.22,4389.39,4975.25,5612.48,3563.81,2720.41,1664.33,4204.31,4235.35,694.3380000000001,farm
8428,1172.43,3941.91,3084.46,3153.22,3150.74,2823.48,2080.01,2734.13,1233.54,2582.39,3370.69,2809.01,2736.07,3883.15,3510.66,3111.38,502.80699999999996,938.1489999999999,2217.41,3941.91,2111.93,2519.37,1680.6,1514.05,1370.31,2672.73,2965.52,2672.09,impervious
7513,7120.27,8184.72,8184.72,946.331,5312.27,1879.81,1601.99,7684.52,1365.01,1079.08,669.262,4231.93,1172.53,2453.68,1370.47,2291.93,5500.0,1345.63,7360.39,1252.86,6874.04,7980.84,1630.29,4131.39,2093.28,449.73900000000003,6160.65,417.63800000000003,forest
7663,438.642,1464.47,1441.21,1173.16,220.951,1313.23,1219.54,934.159,1464.47,721.6439999999999,1124.37,139.504,438.64599999999996,714.502,792.9839999999999,1409.81,730.93,720.738,1217.96,1036.0,468.44699999999995,849.04,250.662,411.88199999999995,410.699,255.312,988.686,948.85,impervious
1006,7712.09,8396.97,6526.26,6246.71,955.8480000000001,4632.92,5934.86,4831.66,2510.63,7026.45,5653.12,7794.35,2702.77,8396.97,3241.11,2223.52,7068.25,1088.35,1034.29,7755.9,2710.56,2975.6,3004.61,1447.67,357.089,3402.69,7116.48,4175.36,forest
1956,3443.87,7870.63,7257.32,7344.16,5944.77,1075.82,4946.91,6701.11,1378.99,7330.36,7405.92,6296.08,805.699,1027.86,5179.9,7870.63,6704.71,696.534,3355.19,6005.54,4057.45,3266.11,3520.97,6531.44,574.082,5489.81,7344.5,711.5830000000001,forest
2645,3857.21,7843.42,7843.42,7058.73,5375.13,6774.16,6044.78,6769.15,5421.16,7366.07,5457.01,7606.52,5391.48,4703.16,3789.79,5920.14,1201.46,452.036,3447.44,7510.77,1094.71,3217.95,654.9540000000001,2773.37,630.898,919.2130000000001,6746.06,3689.36,forest
2318,623.827,7318.04,6600.73,4538.15,314.13,4755.07,4839.85,5341.22,5074.27,3283.81,5977.56,5426.04,354.366,1045.21,4270.91,7030.06,3926.94,530.881,5018.42,7318.04,5798.31,1350.32,4617.89,3415.95,517.187,3240.64,6133.67,6115.71,forest
3620,843.225,8225.85,7580.42,1175.13,624.428,7737.23,226.465,5403.58,1087.81,6602.42,8131.77,8225.85,6040.0,5199.79,541.93,2879.11,2157.9,1612.76,2392.18,6625.77,2330.77,4770.41,606.056,807.7810000000001,6715.24,510.73699999999997,7379.07,2826.87,forest
9921,466.809,3399.32,2852.7,3211.63,304.585,3108.49,3399.32,3199.43,2251.47,515.6619999999999,2320.31,1571.5,375.68,599.038,538.97,725.6469999999999,2117.88,1211.69,511.535,3207.62,3030.2,2821.27,428.64300000000003,290.599,373.472,240.68900000000002,3158.02,667.931,impervious
5962,803.315,8138.0,7728.93,402.11199999999997,8138.0,4357.41,465.273,477.48400000000004,2213.01,1122.89,1462.56,402.02,379.523,1497.74,398.715,1141.54,300.748,1378.1,4301.21,987.9630000000001,7350.08,1727.4,4513.76,257.663,2067.8,687.885,6971.56,397.235,forest
1585,769.828,8025.3,2856.32,8025.3,924.835,3491.85,7364.42,5800.07,7209.72,7680.46,6943.73,7224.25,567.915,7867.19,5216.29,6088.66,7362.51,487.75699999999995,4379.17,7981.18,5986.94,2453.61,5545.85,1766.0,798.5089999999999,7317.07,7472.77,5220.71,forest
10372,5354.02,6453.84,6036.69,6047.47,5425.07,1518.19,4522.11,5783.9,2381.49,5450.94,5329.93,6453.84,1036.15,3863.84,4747.39,4914.59,1408.15,775.573,4355.75,5442.57,4683.26,2267.2,3579.38,1629.55,2443.03,1074.34,5511.16,3739.24,grass
5740,3680.65,7636.56,6831.54,1919.17,7617.66,7636.56,439.026,3791.35,3763.67,5990.52,1544.73,1267.89,673.6460000000001,4565.71,478.89599999999996,942.8489999999999,2654.65,1880.92,1480.49,684.922,1181.73,4449.2,6580.25,299.378,6677.77,533.0980000000001,7356.8,553.0459999999999,forest
9399,389.791,6296.08,5323.4,6296.08,5139.36,5970.27,4775.81,4347.83,4105.88,5282.7,4762.59,5311.43,773.426,6204.13,4874.69,1602.83,5113.97,631.924,3562.98,1400.17,5514.23,5690.56,4840.02,3641.03,612.573,412.346,5340.81,4255.37,farm
4432,5521.0,8017.66,6439.61,8017.66,8002.78,6760.95,313.42,7576.48,7085.24,7630.34,983.2330000000001,6997.36,1751.45,896.498,2274.72,875.323,1118.33,2535.55,1495.42,2134.81,746.965,2042.18,2999.51,2227.68,779.1189999999999,998.3510000000001,6724.18,2479.8,forest
7618,1742.73,8186.01,7776.89,3445.61,8098.99,7965.3,622.578,7978.81,7540.72,8046.08,8186.01,7837.8,3003.96,2501.99,7402.02,691.183,8026.27,1389.31,4156.52,7732.07,6182.62,1100.11,6624.08,1530.38,578.789,384.341,7877.36,7892.69,forest
6461,452.033,8099.38,7985.63,8099.38,1466.64,4067.37,263.26099999999997,7881.97,4254.28,2054.74,616.741,377.161,742.579,1231.01,346.44199999999995,962.1339999999999,373.95,1116.1,2671.72,898.5360000000001,4105.81,6681.42,7334.07,194.89700000000002,1664.51,384.333,7319.22,333.41900000000004,forest
7983,360.233,4611.33,4394.31,2339.97,4343.81,3572.32,3208.41,3632.98,3743.17,4505.9,575.716,3793.5,683.232,4611.33,2594.12,2821.62,4114.54,600.495,1275.56,3504.0,3302.42,2174.06,2554.59,1526.57,1428.12,2391.83,4037.42,924.91,impervious
7947,357.111,1146.91,950.323,940.8689999999999,895.1239999999999,1010.03,1056.94,947.301,887.321,913.201,806.6410000000001,951.307,597.354,1136.67,477.94699999999995,1097.74,769.74,644.346,635.134,318.001,1042.18,710.676,1146.91,421.414,499.37300000000005,442.538,621.552,813.512,impervious
689,1834.86,8237.4,7991.38,2792.16,2053.32,558.5930000000001,6975.68,7043.87,2722.25,5068.49,7521.92,7657.84,5444.48,7480.69,984.6110000000001,1833.21,922.962,720.439,1296.51,8237.4,724.07,2883.93,1333.52,6388.47,6442.2,7032.46,7390.21,5201.51,forest
7708,395.719,2543.85,2032.94,1895.61,1514.68,1969.39,2184.76,2413.6,2355.91,2489.47,822.168,2352.35,670.057,2247.86,1302.68,2543.85,1815.98,760.2669999999999,642.133,1293.95,1690.63,1456.36,979.345,462.44,610.1990000000001,494.849,2333.44,419.417,impervious
525,1637.23,7913.55,7383.14,6761.35,7454.13,1990.88,1750.19,1019.91,666.493,683.13,3793.53,6925.26,353.25699999999995,737.704,1405.46,2265.66,296.615,1596.35,5265.76,3898.58,6450.52,7913.55,1318.98,1314.12,400.70599999999996,503.895,7483.28,1402.7,forest
708,2742.96,8262.09,7754.99,5603.19,8099.7,6814.37,7428.81,7496.11,7077.88,7793.44,7875.03,7708.07,3086.29,8262.09,5435.79,1448.25,693.133,1031.56,2011.29,8028.47,4560.06,2884.15,2060.61,2661.78,7083.36,418.35,7062.56,2205.73,forest
9873,825.89,7400.2,6640.04,7400.2,7014.06,4856.42,5307.88,5761.56,1399.82,6104.45,6420.26,6278.97,6890.83,1355.39,738.275,1990.95,639.773,818.314,1010.44,6868.19,6314.76,2189.88,3144.76,4788.65,1252.61,4992.38,5716.79,1842.26,farm
9049,1085.54,7637.95,4643.9,4822.02,2136.55,7044.79,7168.48,7637.95,1473.99,843.013,2790.15,1589.38,355.936,2223.57,2424.7,360.60400000000004,2636.57,1580.58,3054.09,5663.6,1077.42,4835.87,5766.66,4895.75,678.5110000000001,2171.59,743.314,395.218,farm
6824,2623.14,8444.66,7738.45,4355.71,8444.66,8273.03,687.57,6492.93,1291.06,5910.86,6740.07,5971.84,296.236,520.243,673.296,1315.16,307.45099999999996,1786.77,2102.0,7987.73,5557.86,5716.08,6874.01,563.178,757.4680000000001,669.6669999999999,6369.76,2088.69,forest
2803,7039.29,8368.0,1341.03,8368.0,8286.13,8058.26,7994.88,6058.29,5420.09,8094.7,7864.93,7775.2,1057.54,7952.32,1266.51,4828.03,596.815,1477.45,4551.47,6280.26,6050.51,3400.31,502.656,2312.74,1283.44,926.645,8021.71,1715.16,forest
2288,615.519,8101.44,7219.95,7600.04,319.337,7303.59,7126.37,4414.87,6558.88,3507.95,7181.19,5690.51,426.885,1552.32,3849.19,6935.05,2315.76,625.193,5114.78,8101.44,6695.27,1044.71,6401.14,6745.08,864.175,3160.79,6988.84,7219.24,forest
958,2605.47,8093.32,7433.17,1422.16,8093.32,1897.75,6987.79,7283.7,6831.97,7223.35,6489.68,7169.22,5139.56,7615.39,700.533,2833.95,1586.46,815.265,1080.2,7879.85,6286.5,3007.92,5239.32,6535.34,1924.89,6916.3,6808.72,7368.68,forest
4264,7654.19,8134.78,7559.7,7764.77,7942.53,2197.35,7721.15,7845.04,3476.52,8021.41,7295.12,7689.03,8016.92,8134.78,6584.94,1254.76,5293.48,1344.91,1721.82,4758.2,1704.44,1854.87,258.879,7669.14,388.76599999999996,7837.34,7953.76,5149.78,forest
8838,7474.81,7476.09,6958.83,6985.84,5713.14,5636.08,401.916,2655.54,6272.22,750.612,3813.58,7359.07,7476.09,2720.25,3979.6,727.8330000000001,5212.09,2077.98,5523.89,1459.48,320.403,6684.01,4018.56,2361.61,7197.17,927.2510000000001,6776.75,2924.7,farm
8974,4970.0,7634.39,7147.78,1992.72,532.969,5261.71,723.054,4135.94,3214.44,5946.86,799.915,4786.9,811.27,2955.97,1673.41,1185.95,4414.1,854.291,3079.94,3086.48,1546.64,4768.54,2332.88,341.385,2197.57,614.409,7634.39,1293.84,farm
9660,515.498,7009.77,5126.51,5547.15,1283.17,5643.74,4513.88,2099.76,2470.25,1051.03,4407.81,3862.6,616.913,6563.63,4610.47,6906.44,759.6569999999999,598.3530000000001,3430.99,7009.77,6169.05,2734.59,2841.68,2794.41,230.959,705.8539999999999,4531.21,3547.29,farm
7625,1709.82,8181.82,7834.98,2536.03,8088.35,7998.74,678.793,8012.23,7643.17,8080.45,8181.82,7904.09,3062.48,2158.74,7441.06,806.432,8076.04,1418.92,3922.91,7695.53,6293.71,1002.6,6716.67,1528.79,715.9789999999999,306.117,7949.08,7885.56,forest
