No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Dingling,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
13998,2014,10,5,5,22.0,2.0,10.0,400,12.0,12.8,1014.7,6.4,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0
1516,2013,5,3,3,154.0,61.0,51.0,2000,49.0,14.3,1008.1,5.6,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85.0
27259,2016,4,9,18,524.0,10.0,35.0,900,95.0,18.2,999.8,-0.1,0.0,3.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
20527,2015,7,4,6,83.0,3.0,20.0,600,63.0,19.7,1001.5,13.8,0.1,2.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.0
26596,2016,3,13,3,49.0,2.0,5.0,700,88.0,4.0,1014.1,-12.9,0.0,3.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0
24134,2015,12,1,13,468.0,64.0,147.0,7100,2.0,1.9,1008.2,-1.7,0.0,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,468.0
32917,2016,12,1,12,14.0,5.0,7.0,200,69.0,8.4,1024.7,-13.3,0.0,3.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
28806,2016,6,13,5,29.0,2.0,13.0,400,84.0,19.2,995.3,16.6,0.0,0.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.0
19102,2015,5,5,21,47.0,2.0,3.0,200,106.0,21.7,998.3,-10.1,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
12587,2014,8,7,10,127.0,16.0,15.0,1400,155.0,30.6,1001.2,14.2,0.0,2.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74.0
16518,2015,1,18,5,126.0,34.0,61.0,2500,2.0,-2.0,1013.0,-13.8,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,126.0
12398,2014,7,30,13,95.0,4.0,21.0,1200,121.0,28.8,997.2,21.6,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0
19020,2015,5,2,11,74.0,9.0,27.0,600,53.0,20.6,1002.2,11.5,0.0,1.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66.0
22460,2015,9,22,19,14.0,2.0,9.0,500,71.0,18.3,999.9,16.8,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
18895,2015,4,27,6,117.0,6.0,21.0,600,65.0,18.1,997.7,10.9,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62.0
16245,2015,1,6,20,90.0,23.0,43.0,1300,19.0,0.0,1018.0,-19.2,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
2720,2013,6,22,7,65.0,3.0,32.0,600,17.0,21.2,1001.4,19.3,0.9,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.0
10890,2014,5,28,17,75.0,9.0,13.0,100,221.0,35.2,986.5,6.5,0.0,1.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.0
2681,2013,6,20,16,48.0,4.0,36.0,600,114.0,29.0,999.3,18.1,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.0
24523,2015,12,17,18,95.0,18.0,80.0,1300,2.0,0.4,1020.8,-12.6,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60.0
20040,2015,6,13,23,6.0,2.0,15.0,200,49.0,18.7,1000.3,15.4,0.0,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
22592,2015,9,28,7,23.0,2.0,10.0,400,48.0,17.4,1012.5,14.7,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.0
14760,2014,11,5,23,11.0,2.0,3.0,200,70.0,11.5,1009.0,-10.1,0.0,3.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
22983,2015,10,14,14,89.0,18.0,51.0,1200,91.0,22.6,1007.4,6.4,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71.0
9879,2014,4,16,14,93.0,12.0,40.0,400,90.0,19.0,1003.1,-2.6,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0
34351,2017,1,30,6,10.0,6.0,3.0,400,71.0,-7.88,1030.0,-24.6,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
21861,2015,8,28,20,25.0,5.0,9.0,500,62.0,25.4,997.6,18.3,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.0
4075,2013,8,17,18,10.0,3.0,5.0,400,92.0,32.2,993.7,12.9,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0
15191,2014,11,23,22,148.0,14.0,88.0,1900,2.0,0.9,1017.9,-4.3,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0
23022,2015,10,16,5,100.0,3.0,28.0,1100,81.0,11.4,1009.4,8.4,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89.0
22314,2015,9,16,17,133.0,11.0,30.0,900,248.0,25.8,1007.2,13.0,0.0,2.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,107.0
1158,2013,4,18,5,3.0,3.0,7.0,200,75.0,6.4,1015.3,-13.8,0.0,2.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
13460,2014,9,12,19,70.0,2.0,22.0,800,67.0,22.2,1005.8,16.2,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
13005,2014,8,24,20,42.0,3.0,14.0,300,76.0,26.8,1000.3,17.3,0.0,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
18116,2015,3,25,19,133.0,18.0,35.0,1000,139.0,16.0,1019.6,-1.6,0.0,3.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88.0
31153,2016,9,19,0,10.0,2.0,16.0,300,4.0,15.2,1013.5,12.1,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0
30688,2016,8,30,15,36.0,6.0,14.0,400,157.0,32.4,994.2,11.5,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
24319,2015,12,9,6,205.0,8.0,62.0,4000,2.0,0.8,1016.8,0.1,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205.0
29695,2016,7,20,6,46.0,2.0,4.0,700,58.0,21.8,996.7,21.3,1.1,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46.0
34039,2017,1,17,6,134.0,9.0,69.0,2300,9.0,-2.34,1021.0,-6.6,0.0,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,134.0
28856,2016,6,15,7,13.0,2.0,11.0,400,79.0,21.5,994.2,13.4,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0
32000,2016,10,24,7,41.0,2.0,10.0,400,7.0,7.8,1010.5,4.7,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.0
375,2013,3,16,14,148.0,45.0,62.0,1500,107.0,14.6,1013.1,-1.5,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,174.0
7964,2014,1,26,19,103.0,36.0,39.0,900,34.0,-0.9,1013.7,-9.8,0.0,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74.0
29771,2016,7,23,10,130.0,2.0,21.0,1000,83.0,30.3,992.5,25.4,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,130.0
7362,2014,1,1,17,64.0,13.0,14.0,300,64.0,7.7,1006.2,-12.7,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.0
3878,2013,8,9,13,46.0,11.0,5.0,500,131.0,36.4,991.4,15.0,0.0,2.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.0
14318,2014,10,18,13,150.0,17.0,49.0,800,111.0,24.3,1006.0,2.4,0.0,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,113.0
31856,2016,10,18,7,91.0,2.0,29.0,1400,2.0,12.9,1012.5,10.4,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91.0
23762,2015,11,16,1,75.0,4.0,43.0,1400,2.0,6.9,1014.1,5.7,0.7,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.0
23670,2015,11,12,5,55.0,3.0,36.0,1400,2.0,5.3,1021.9,4.7,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.0
11928,2014,7,10,23,65.0,2.0,16.0,400,117.0,25.6,989.8,14.7,0.0,2.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.0
11990,2014,7,13,13,8.0,2.0,2.0,200,102.0,34.8,992.1,12.5,0.0,3.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
648,2013,3,27,23,13.0,3.0,4.0,200,98.0,8.0,1010.7,-18.0,0.0,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
8709,2014,2,26,20,5.0,22.0,21.0,500,36.0,6.9,1015.1,1.0,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.0
163,2013,3,7,18,282.0,64.0,156.0,2500,75.0,12.5,994.5,-3.4,0.0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,258.0
3963,2013,8,13,2,49.0,3.0,10.0,700,26.0,26.4,997.3,23.7,0.0,1.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0
809,2013,4,3,16,409.0,55.0,41.0,2000,146.0,16.3,1003.1,-0.9,0.0,4.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,154.0
15713,2014,12,15,16,34.0,2.0,2.0,200,58.0,-0.3,1025.0,-21.2,0.0,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0
13768,2014,9,25,15,113.0,3.0,29.0,1200,73.0,20.3,1005.7,16.3,0.0,2.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0
18964,2015,4,30,3,137.0,2.0,26.0,900,70.0,18.4,1002.2,14.1,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,137.0
1669,2013,5,9,12,25.0,7.0,41.0,400,48.0,19.3,1000.5,11.1,0.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
15826,2014,12,20,9,53.0,20.0,22.0,900,19.0,-5.3,1020.0,-20.2,0.0,2.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.0
198,2013,3,9,5,108.0,20.0,34.0,1200,107.0,2.0,989.2,-3.3,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,106.0
555,2013,3,24,2,6.0,3.0,2.0,100,89.0,0.7,1015.1,-15.3,0.0,2.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
17211,2015,2,16,2,300.0,47.0,86.0,4500,2.0,0.0,1011.0,-8.5,0.0,2.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300.0
9010,2014,3,11,9,197.0,50.0,54.0,2100,17.0,6.9,1008.1,-4.2,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,166.0
11876,2014,7,8,19,7.0,3.0,18.0,300,85.0,31.1,994.5,9.3,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0
33667,2017,1,1,18,338.0,16.0,155.0,4700,4.0,-0.7,1013.7,-7.9,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,338.0
1860,2013,5,17,11,236.0,25.0,38.0,900,73.0,21.8,1003.1,12.1,0.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123.0
4161,2013,8,21,8,52.0,1.0,7.0,1200,38.0,26.5,1000.6,21.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81.0
20813,2015,7,16,4,42.0,2.0,9.0,300,92.0,20.5,998.1,19.2,0.5,1.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42.0
26446,2016,3,6,21,240.0,17.0,38.0,1200,42.0,5.4,1007.0,-10.0,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92.0
30041,2016,8,3,16,43.0,2.0,3.0,500,148.0,34.5,999.7,20.1,0.0,2.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
21048,2015,7,25,23,87.0,2.0,13.0,800,88.0,27.7,992.4,22.2,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72.0
9259,2014,3,21,18,106.0,8.0,20.0,400,93.0,18.2,1006.5,-10.7,0.0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26.0
6383,2013,11,21,22,109.0,33.0,84.0,1600,1.071,2.0,1017.9,-7.1,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.0
25373,2016,1,22,4,35.0,4.0,10.0,300,57.0,-9.0,1031.2,-24.6,0.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
31055,2016,9,14,22,39.0,2.0,2.0,100,82.0,20.125,1007.0,17.7,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39.0
3620,2013,7,29,19,92.0,3.0,24.0,700,77.0,29.9,989.9,23.4,0.0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.0
1893,2013,5,18,20,131.0,14.0,20.0,700,145.0,22.9,994.6,13.4,0.0,3.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.0
26394,2016,3,4,17,424.0,53.0,139.0,4700,13.0,9.7,1008.5,0.8,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,423.0
18938,2015,4,29,1,57.0,2.0,18.0,500,74.0,18.6,1005.5,13.0,0.0,2.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0
18864,2015,4,25,23,150.0,7.0,31.0,600,110.0,21.4,1001.8,3.6,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0
27268,2016,4,10,3,138.0,4.0,22.0,700,43.0,8.3,1007.0,-6.7,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.0
20314,2015,6,25,9,142.0,6.0,12.0,700,64.0,24.2,994.1,18.4,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,142.0
16298,2015,1,9,1,113.0,36.0,84.0,2200,2.0,-2.0,1021.0,-14.8,0.0,1.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103.0
35032,2017,2,27,15,86.0,15.0,62.0,900,71.0,14.8,1008.7,-7.4,0.0,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55.0
16569,2015,1,20,8,65.0,17.0,56.0,1200,2.0,-6.0,1015.0,-11.9,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.0
34565,2017,2,8,4,48.0,11.0,27.0,700,47.0,-3.5,1020.8,-8.8,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48.0
9852,2014,4,15,11,121.0,22.0,57.0,1000,75.0,21.1,1010.8,11.1,0.0,3.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0
19888,2015,6,7,15,5.0,2.0,7.0,200,75.0,27.0,998.9,2.8,0.0,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0
15056,2014,11,18,7,49.0,36.0,41.0,600,13.0,-1.3,1016.0,-8.3,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38.0
8915,2014,3,7,10,9.0,2.0,2.0,200,79.0,5.4,1021.9,-23.9,0.0,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
13350,2014,9,8,5,36.0,2.0,10.0,200,64.0,17.6,1003.8,5.8,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
1987,2013,5,22,18,138.0,23.0,21.0,900,184.0,25.8,1001.5,4.3,0.0,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65.0
33385,2016,12,21,0,430.0,14.0,162.0,8800,2.0,-0.8,1020.5,-3.0,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,416.0
14485,2014,10,25,12,371.0,15.0,57.0,2000,90.0,18.8,1001.5,11.1,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,371.0
23700,2015,11,13,11,190.0,18.0,62.0,3000,2.0,7.0,1014.2,4.8,0.0,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0
17467,2015,2,26,18,18.0,3.0,2.0,200,90.0,4.0,1018.0,-22.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0
8266,2014,2,8,9,40.0,32.0,29.0,1100,36.0,-1.3,1018.3,-13.8,0.0,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81.0
2134,2013,5,28,21,50.0,3.0,47.0,600,20.0,20.7,998.7,1.0,0.0,4.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54.0
29,2013,3,2,4,65.0,25.0,71.0,1200,5.0,-3.4,1027.5,-17.0,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.0
15295,2014,11,28,6,82.0,15.0,26.0,600,25.0,2.6,1014.0,-5.1,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0
19956,2015,6,10,11,76.0,4.0,19.0,1000,107.0,19.7,991.1,16.9,0.4,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0
7625,2014,1,12,16,17.0,13.0,5.0,300,73.0,1.7,1025.1,-22.2,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
13897,2014,10,1,0,28.0,2.0,34.0,1100,15.0,10.8,1011.3,4.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
18065,2015,3,23,16,16.0,5.0,2.0,300,104.0,19.7,1016.3,-21.1,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0
6225,2013,11,15,8,160.0,24.0,38.0,500,29.7738,7.0,1010.3,-6.0,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.0
23192,2015,10,23,7,15.0,2.0,13.0,700,2.0,8.3,1010.3,7.4,0.0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0
20246,2015,6,22,13,126.0,23.0,19.0,800,253.0,30.2,995.7,14.3,0.0,2.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,103.0
15920,2014,12,24,7,42.0,20.0,10.0,400,30.0,-0.7,1023.0,-17.0,0.0,2.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
16912,2015,2,3,15,60.0,32.0,9.0,1000,94.0,7.0,1018.0,-12.2,0.0,5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.0
34135,2017,1,21,6,57.0,11.0,29.0,1100,30.0,-8.22,1018.8,-19.5,0.0,1.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.0
17112,2015,2,11,23,18.0,3.0,2.0,200,97.0,3.0,1008.0,-14.2,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
15634,2014,12,12,9,28.0,3.0,3.0,300,49.0,-1.3,1019.0,-20.9,0.0,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
684,2013,3,29,11,57.0,16.0,36.0,700,57.0,8.7,1013.4,-13.1,0.0,3.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39.0
18114,2015,3,25,17,135.0,24.0,37.0,1200,149.0,17.6,1018.6,-1.1,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,104.0
33133,2016,12,10,12,117.0,35.0,78.0,2200,13.0,3.1,1020.3,-10.9,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87.0
33253,2016,12,15,12,43.0,6.0,4.0,300,68.0,2.8,1025.3,-14.4,0.0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0
30122,2016,8,7,1,14.0,2.0,6.0,400,101.0,24.1,996.9,21.6,0.7,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
30088,2016,8,5,15,60.0,2.0,7.0,800,172.0,32.4,999.2,22.5,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
24025,2015,11,27,0,56.0,9.0,26.0,1200,7.0,-6.9,1019.5,-13.6,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56.0
19387,2015,5,17,18,184.0,11.0,21.0,1100,166.0,24.3,986.9,17.1,0.0,1.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169.0
18297,2015,4,2,8,37.0,16.0,11.0,800,74.0,5.0,995.1,3.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.0
16444,2015,1,15,3,266.0,29.0,86.0,3500,9.0,-5.3,1019.8,-8.0,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,266.0
2084,2013,5,26,19,126.0,32.0,37.0,1500,61.0,18.9,1000.7,17.2,0.0,3.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,112.0
21266,2015,8,4,1,8.0,11.0,13.0,400,178.0,20.7,993.1,13.9,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
15860,2014,12,21,19,69.0,18.0,14.0,700,39.0,-0.2,1028.0,-16.1,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
32266,2016,11,4,9,213.0,2.0,90.0,2000,5.0,4.9,1001.8,2.4,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,186.0
17464,2015,2,26,15,26.0,8.0,2.0,300,93.0,6.0,1015.0,-21.3,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0
3331,2013,7,17,18,49.0,4.0,10.0,500,163.0,30.8,994.3,16.8,0.0,1.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.0
19201,2015,5,10,0,18.0,2.0,12.0,400,27.0,11.3,1008.1,5.6,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
23145,2015,10,21,8,51.0,4.0,35.0,1500,5.0,9.7,1014.6,9.1,0.4,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.0
22086,2015,9,7,5,23.0,2.0,12.0,400,32.0,16.4,1004.9,14.8,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.0
17573,2015,3,3,4,8.0,2.0,2.0,200,90.0,1.8,1011.1,-22.9,0.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
599,2013,3,25,22,140.0,26.0,51.0,1100,57.0,3.6,1008.9,-5.4,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119.0
10989,2014,6,1,20,32.0,2.0,7.0,400,153.0,18.7,1002.8,15.6,0.3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0
18538,2015,4,12,9,15.0,2.0,3.0,200,87.0,8.2,1016.1,-7.1,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0
15181,2014,11,23,12,161.0,34.0,74.0,1600,8.0,8.5,1016.1,0.5,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,122.0
18977,2015,4,30,16,125.0,14.0,16.0,700,234.0,28.6,999.0,12.9,0.0,3.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84.0
29889,2016,7,28,8,23.0,2.0,2.0,400,79.0,25.0,993.9,19.4,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0
22980,2015,10,14,11,87.0,11.0,57.0,900,40.0,19.2,1009.1,7.0,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
28799,2016,6,12,22,57.0,2.0,19.0,700,169.0,24.6,995.1,15.2,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.0
10150,2014,4,27,21,116.0,5.0,37.0,600,87.0,18.9,1011.6,7.0,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0
15934,2014,12,24,21,16.0,7.0,10.0,200,67.0,2.3,1024.0,-14.0,0.0,1.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
10668,2014,5,19,11,39.0,6.0,13.0,600,131.0,24.9,995.7,15.2,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48.0
1849,2013,5,17,0,116.0,9.0,30.0,900,77.0,19.5,1005.4,10.8,0.0,2.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0
1625,2013,5,7,16,73.0,57.0,32.0,1000,230.0,29.1,1004.0,7.6,0.0,4.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,148.0
12312,2014,7,26,23,105.0,5.0,18.0,900,151.0,28.6,1000.6,16.8,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.0
25254,2016,1,17,5,51.0,12.0,13.0,500,67.0,-6.9,1017.6,-17.4,0.0,2.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0
6927,2013,12,14,14,27.0,14.0,10.0,300,63.0,7.3,1018.1,-18.5,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
4557,2013,9,6,20,79.0,3.0,16.0,1000,66.0,20.7,1007.2,17.1,0.0,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
4428,2013,9,1,11,46.0,21.0,19.0,700,50.0,26.5,1004.6,18.1,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.0
