No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Gucheng,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
487,2013,3,21,6,106.0,20.0,67.0,1100,3.0,-1.2,1005.6,-2.9,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102.0
31078,2016,9,15,21,283.0,2.0,52.0,1500,84.0,25.3,1005.9,20.1,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,171.0
9146,2014,3,17,1,220.0,31.0,99.0,1500,17.0,7.8,1003.3,0.7,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143.0
1394,2013,4,28,1,118.0,29.0,65.0,1500,92.0,14.6,1003.6,3.4,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0
7453,2014,1,5,12,45.0,25.0,38.0,2900,44.0,6.2,1015.9,-11.9,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
21979,2015,9,2,18,13.0,2.0,13.0,300,106.0,29.4,1003.5,15.1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
14898,2014,11,11,17,21.0,2.0,9.0,200,73.0,11.4,1009.0,-8.0,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0
15776,2014,12,18,7,165.0,86.0,88.0,4600,2.0,-3.7,1020.0,-12.1,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0
10648,2014,5,18,15,215.0,29.0,56.0,800,209.0,29.7,997.7,11.7,0.0,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98.0
19768,2015,6,2,15,59.0,2.0,10.0,100,113.0,33.0,1000.3,-1.4,0.0,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
5946,2013,11,3,17,7.0,4.0,23.0,300,67.2588,14.6,1017.8,-2.8,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
741,2013,3,31,20,256.0,18.0,101.0,1700,2.0,6.2,1007.5,2.6,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,223.0
21228,2015,8,2,11,71.0,2.0,33.0,1200,62.0,27.1,995.8,24.4,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
6186,2013,11,13,17,242.0,72.0,152.0,2900,5.7834,7.3,1010.8,0.7,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227.0
3745,2013,8,4,0,88.0,3.0,60.0,900,48.0,25.9,994.6,22.0,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.0
26010,2016,2,17,17,50.0,12.0,17.0,600,85.0,8.7,1010.2,-10.3,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.0
32386,2016,11,9,9,163.0,14.0,70.0,2000,4.0,2.9,1024.7,-2.6,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.0
19536,2015,5,23,23,231.0,16.0,76.0,1200,70.0,22.8,1000.0,14.1,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129.0
3816,2013,8,6,23,209.0,3.0,57.0,1200,59.0,29.0,993.2,23.2,0.0,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0
34167,2017,1,22,14,70.0,17.0,35.0,100,40.0,-0.38,1023.2,-20.6,0.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.0
23547,2015,11,7,2,29.0,2.0,29.0,700,21.0,1.6,1021.7,0.3,0.9,0.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.0
31051,2016,9,14,18,152.0,6.0,27.0,900,157.0,27.475,1002.25,17.7,0.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.0
19227,2015,5,11,2,38.0,2.0,53.0,1100,7.0,9.6,1005.1,8.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.0
29392,2016,7,7,15,108.0,5.0,16.0,800,245.0,32.8,1001.9,17.4,0.0,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,108.0
10709,2014,5,21,4,126.0,15.0,63.0,1100,43.0,18.8,998.6,11.8,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78.0
31714,2016,10,12,9,81.0,2.0,71.0,1100,2.0,13.0,1019.6,9.6,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.0
26634,2016,3,14,17,57.0,10.0,21.0,500,102.0,15.1,1011.1,-16.4,0.0,2.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.0
34666,2017,2,12,9,195.0,60.0,78.0,2800,7.0,0.5,1020.4,-15.5,0.0,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113.0
32985,2016,12,4,8,236.0,14.0,100.0,3300,6.0,-1.5,1009.1,-3.5,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,187.0
29431,2016,7,9,6,78.0,2.0,72.0,700,8.0,25.7,999.0,22.2,0.0,1.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75.0
3889,2013,8,10,0,74.0,3.0,80.0,800,51.0,26.4,995.1,23.1,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56.0
11983,2014,7,13,6,18.0,2.0,18.0,300,77.0,26.3,996.2,13.1,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0
3358,2013,7,18,21,7.0,9.0,39.0,1000,111.0,24.7,996.8,20.0,0.0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.0
9472,2014,3,30,15,27.0,4.0,24.0,300,102.0,26.1,1005.1,-4.5,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0
32340,2016,11,7,11,8.0,2.0,11.0,400,40.0,10.8,1022.9,-6.1,0.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0
11368,2014,6,17,15,144.0,2.0,31.0,1100,167.0,25.8,993.9,21.0,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144.0
3101,2013,7,8,4,66.0,3.0,23.0,700,94.0,23.7,994.0,22.9,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,375.0
7222,2013,12,26,21,6.0,12.0,20.0,300,63.0,-3.2,1026.4,-18.4,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
13015,2014,8,25,6,26.0,4.0,23.0,600,58.0,22.5,1004.2,14.3,0.0,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.0
7173,2013,12,24,20,293.0,111.0,167.0,6000,13.0,-3.0,1023.2,-8.9,0.0,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.0
16649,2015,1,23,16,199.0,73.0,128.0,2700,15.0,6.0,1009.0,-12.1,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,178.0
23907,2015,11,22,2,88.0,3.0,40.0,1400,2.0,0.9,1027.2,-0.9,0.0,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88.0
30025,2016,8,3,0,82.0,2.0,35.0,700,91.0,28.1,1002.6,22.1,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48.0
22504,2015,9,24,15,222.0,7.0,59.0,1700,118.0,25.7,999.6,18.1,0.0,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,222.0
10751,2014,5,22,22,190.0,13.0,79.0,500,74.0,26.1,1000.7,13.6,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98.0
31747,2016,10,13,18,211.0,3.0,80.0,1500,75.0,17.9,1010.0,12.6,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,193.0
27762,2016,4,30,17,154.0,6.0,25.0,600,223.0,29.7,991.9,9.8,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87.0
25795,2016,2,8,18,30.0,3.0,10.0,300,78.0,9.5,1008.4,-11.8,0.0,2.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
10034,2014,4,23,1,174.0,10.0,63.0,800,44.0,16.6,1002.8,8.3,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89.0
23867,2015,11,20,10,58.0,2.0,44.0,1700,2.0,1.6,1020.1,0.1,0.2,0.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58.0
29571,2016,7,15,2,32.0,2.0,21.0,500,50.0,21.3,998.7,20.3,1.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.0
25971,2016,2,16,2,44.0,4.0,12.0,400,47.0,3.1,1014.9,-16.1,0.0,4.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
7376,2014,1,2,7,101.0,66.0,79.0,2400,12.0,-1.1,1012.9,-10.2,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
30857,2016,9,6,16,20.0,2.0,15.0,300,73.0,30.1,999.2,11.1,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
8697,2014,2,26,8,420.0,48.0,158.0,6600,12.0,3.3,1015.8,-0.3,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,463.0
5400,2013,10,11,23,119.0,8.0,92.0,1000,2.0,11.2,1009.8,7.9,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69.0
19190,2015,5,9,13,27.0,5.0,33.0,700,55.0,13.5,1010.6,4.6,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.0
24708,2015,12,25,11,705.0,13.0,131.0,9300,5.0,-2.3,1011.4,-4.5,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,705.0
1793,2013,5,14,16,103.0,3.0,24.0,400,138.0,31.1,999.2,2.3,0.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.0
27923,2016,5,7,10,12.0,2.0,10.0,200,96.0,22.9,1012.0,-8.1,0.0,2.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
21050,2015,7,26,1,191.0,2.0,46.0,600,93.0,27.9,993.1,24.5,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165.0
15195,2014,11,24,2,223.0,20.0,100.0,4400,7.0,0.4,1022.0,-1.7,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,166.0
5388,2013,10,11,11,67.0,13.0,53.0,700,18.0,21.1,1007.3,3.8,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.0
12255,2014,7,24,14,99.0,3.0,97.0,1200,80.0,28.9,998.0,22.9,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0
8435,2014,2,15,10,280.0,73.0,112.0,4300,12.0,0.6,1017.4,-5.4,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,313.0
17278,2015,2,18,21,312.0,77.0,46.0,1400,55.0,5.0,1024.0,-11.6,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,238.0
249,2013,3,11,8,161.0,40.0,94.0,2799,103.0,3.2,1015.3,-8.8,0.0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
1324,2013,4,25,3,7.0,3.0,7.0,300,83.0,14.0,1005.4,-7.4,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
809,2013,4,3,16,334.0,74.0,65.0,2399,134.0,15.4,1004.9,-2.1,0.0,3.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,178.0
18922,2015,4,28,9,64.0,7.0,47.0,800,64.0,20.3,1004.1,11.8,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47.0
9447,2014,3,29,14,44.0,4.0,13.0,200,94.0,22.8,1003.4,1.2,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.0
31695,2016,10,11,14,155.0,15.0,63.0,1900,63.0,19.7,1013.3,7.4,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,137.0
19574,2015,5,25,13,102.0,30.0,18.0,1000,285.0,33.3,997.4,11.8,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,102.0
16623,2015,1,22,14,94.0,35.0,98.0,2000,17.0,5.0,1013.0,-14.5,0.0,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77.0
9951,2014,4,19,14,88.0,12.0,45.0,500,90.0,13.9,1012.4,3.4,0.0,2.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48.0
26195,2016,2,25,10,79.0,27.0,35.0,1200,34.0,1.9,1026.1,-17.6,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.0
11752,2014,7,3,15,158.0,2.0,21.0,1000,163.0,29.7,992.7,24.1,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,158.0
959,2013,4,9,22,18.0,3.0,20.0,400,80.0,6.4,1015.5,-10.8,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0
3068,2013,7,6,19,95.0,8.0,26.0,1000,207.0,31.5,992.5,19.8,0.0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53.0
7929,2014,1,25,8,25.0,43.0,42.0,1200,34.0,5.6,1018.7,-18.3,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0
14932,2014,11,13,3,18.0,4.0,33.0,400,29.0,1.9,1018.0,-12.3,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0
10166,2014,4,28,13,55.0,4.0,22.0,500,113.0,25.5,1009.9,1.6,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0
23000,2015,10,15,7,144.0,2.0,97.0,1900,3.0,10.3,1010.1,8.7,0.0,0.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,116.0
20983,2015,7,23,6,42.0,2.0,31.0,400,50.0,21.8,997.4,21.5,0.1,0.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42.0
11646,2014,6,29,5,60.0,2.0,41.0,300,25.0,23.9,999.0,17.6,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.0
30827,2016,9,5,10,44.0,2.0,24.0,700,82.0,25.6,1003.8,16.7,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44.0
14006,2014,10,5,13,11.0,4.0,11.0,300,84.0,21.4,1015.9,2.1,0.0,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0
10205,2014,4,30,4,202.0,12.0,115.0,1400,4.0,13.3,1002.0,9.5,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111.0
31132,2016,9,18,3,24.0,2.0,21.0,500,33.0,17.6,1012.3,16.6,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.0
7344,2013,12,31,23,108.0,23.0,56.0,900,34.0,1.1,1006.0,-13.8,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36.0
32492,2016,11,13,19,216.0,14.0,102.0,2900,3.0,9.2,1007.1,4.4,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,134.0
18780,2015,4,22,11,119.0,8.0,22.0,600,111.0,24.2,1010.5,-1.6,0.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.0
13254,2014,9,4,5,96.0,2.0,75.0,900,3.0,16.8,998.1,16.0,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
9030,2014,3,12,5,5.0,7.0,7.0,300,74.0,6.4,1017.8,-11.3,0.0,3.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
1623,2013,5,7,14,184.0,36.0,50.0,1200,195.0,30.0,1006.0,11.0,0.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,131.0
31401,2016,9,29,8,65.0,2.0,56.0,700,6.0,11.4,1014.4,6.9,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
2505,2013,6,13,8,115.0,34.0,57.0,1500,68.0,23.3,1001.9,15.4,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
6029,2013,11,7,4,12.0,6.0,17.0,300,46.2672,6.7,1014.5,-9.3,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
1008,2013,4,11,23,155.0,14.0,113.0,1000,2.3562,8.5,1010.0,-9.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57.0
12153,2014,7,20,8,100.0,2.0,29.0,700,43.0,30.3,999.6,26.0,0.0,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72.0
28225,2016,5,20,0,172.0,18.0,68.0,1400,115.0,21.3,1007.6,9.2,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,110.0
22041,2015,9,5,8,18.0,2.0,28.0,700,69.0,18.3,1002.2,17.5,4.5,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.0
32499,2016,11,14,2,193.0,11.0,74.0,2100,2.0,5.3,1009.6,3.9,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,137.0
29808,2016,7,24,23,107.0,2.0,34.0,800,80.0,26.4,997.6,24.2,0.0,0.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65.0
28969,2016,6,20,0,340.0,3.0,56.0,1400,138.0,26.9,995.5,21.2,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157.0
15602,2014,12,11,1,6.0,6.0,5.0,200,64.0,-0.6,1025.0,-17.3,0.0,1.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
4370,2013,8,30,1,54.0,1.0,22.0,300,38.0,19.4,1003.5,12.9,0.0,0.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
231,2013,3,10,14,59.0,12.0,20.0,600,96.0,11.5,1017.0,-13.5,0.0,2.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.0
21174,2015,7,31,5,15.0,2.0,12.0,700,71.0,22.1,1000.3,21.3,1.8,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0
6075,2013,11,9,2,137.0,38.0,106.0,2500,0.8568,5.1,1014.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133.0
11510,2014,6,23,13,12.0,2.0,11.0,300,138.0,31.4,999.5,11.2,0.0,1.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0
20203,2015,6,20,18,41.0,2.0,18.0,500,202.0,30.7,1001.8,12.6,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0
3284,2013,7,15,19,7.0,3.0,49.0,1200,25.0,24.3,988.6,23.8,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.0
26844,2016,3,23,11,15.0,2.0,8.0,300,83.0,11.5,1025.1,-12.8,0.0,3.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
11662,2014,6,29,21,208.0,6.0,57.0,1700,217.0,28.5,998.1,19.7,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87.0
3490,2013,7,24,9,96.0,3.0,65.0,700,41.0,33.1,993.4,21.0,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
28438,2016,5,28,21,130.0,12.0,38.0,700,159.0,25.2,996.5,12.4,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71.0
9562,2014,4,3,9,33.0,19.0,23.0,400,73.0,17.2,1017.1,-11.5,0.0,1.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.0
28069,2016,5,13,12,69.0,2.0,17.0,400,109.0,23.2,1013.2,0.3,0.0,5.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0
32874,2016,11,29,17,261.0,33.0,112.0,3700,5.0,3.3,1024.7,-5.4,0.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,172.0
13479,2014,9,13,14,55.0,9.0,21.0,600,158.0,28.1,1005.4,12.0,0.0,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55.0
19847,2015,6,5,22,81.0,3.0,59.0,700,82.0,21.8,991.8,17.6,0.0,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.0
25936,2016,2,14,15,17.0,2.0,7.0,300,70.0,-0.9,1022.9,-21.1,0.0,5.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
7079,2013,12,20,22,92.0,46.0,91.0,2400,10.0,-3.3,1029.0,-15.3,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.0
29093,2016,6,25,4,8.0,2.0,16.0,100,74.0,19.4,999.9,8.1,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
27132,2016,4,4,11,124.0,7.0,45.0,600,70.0,16.7,1006.1,-1.9,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0
19819,2015,6,4,18,71.0,5.0,29.0,8000,102.0,20.9,993.0,16.3,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71.0
32316,2016,11,6,11,49.0,13.0,28.0,1200,37.0,9.1,1020.7,-4.8,0.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.0
8093,2014,2,1,4,136.0,31.0,44.0,1200,20.0,1.9,1009.7,0.1,0.0,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0
12647,2014,8,9,22,62.0,2.0,21.0,500,133.0,20.6,997.9,20.6,0.7,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0
25449,2016,1,25,8,61.0,35.0,50.0,1300,24.0,-9.1,1024.5,-20.5,0.0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44.0
22434,2015,9,21,17,146.0,25.0,24.0,1100,222.0,26.7,1001.5,14.5,0.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,103.0
12739,2014,8,13,18,33.0,2.0,28.0,600,87.0,22.2,1000.3,19.7,0.0,0.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
17543,2015,3,1,22,102.0,21.0,68.0,1400,18.0,3.1,1009.0,-11.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60.0
19233,2015,5,11,8,40.0,2.0,39.0,1000,14.0,11.3,1002.8,9.2,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.0
32667,2016,11,21,2,15.0,2.0,18.0,400,38.0,0.0,1018.2,-1.1,0.2,2.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0
17934,2015,3,18,5,42.0,10.0,33.0,600,49.0,7.5,1009.9,-9.0,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.0
33706,2017,1,3,9,174.0,14.0,88.0,4100,2.0,-2.6,1015.9,-7.5,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,161.0
5877,2013,10,31,20,234.0,8.0,160.0,2200,2.7846,6.9,1020.1,4.4,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,207.0
21103,2015,7,28,6,49.0,2.0,19.0,200,75.0,23.8,996.3,23.3,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0
28532,2016,6,1,19,121.0,5.0,33.0,700,215.0,27.1,1003.1,9.0,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.0
27514,2016,4,20,9,228.0,11.0,60.0,1100,29.0,14.6,1007.7,4.8,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84.0
12236,2014,7,23,19,152.0,2.0,104.0,1000,76.0,28.0,994.8,21.3,0.0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50.0
20544,2015,7,4,23,59.0,2.0,62.0,900,30.0,18.1,1002.7,16.9,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59.0
28966,2016,6,19,21,137.0,5.0,66.0,700,108.0,30.2,995.4,13.5,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.0
21901,2015,8,30,12,33.0,2.0,32.0,1000,84.0,22.9,1004.4,20.6,0.7,0.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.0
1716,2013,5,11,11,51.0,9.0,24.0,300,83.0,31.4,986.7,-3.9,0.0,2.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.0
24367,2015,12,11,6,40.0,20.0,56.0,3500,2.0,-2.7,1021.8,-7.2,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.0
23922,2015,11,22,17,42.0,2.0,42.0,900,20.0,-2.5,1028.0,-4.4,0.1,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42.0
20831,2015,7,16,22,66.0,2.0,58.0,600,53.0,23.7,1000.5,19.4,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.0
16799,2015,1,29,22,19.0,18.0,15.0,400,65.0,-1.0,1025.0,-18.6,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
34768,2017,2,16,15,15.0,3.0,18.0,600,53.0,7.6,1012.1,-16.0,0.0,3.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
13033,2014,8,26,0,205.0,6.0,114.0,900,2.0,21.0,1005.2,14.4,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52.0
9802,2014,4,13,9,213.0,23.0,112.0,1600,12.0,17.5,1011.2,5.1,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.0
