No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Shunyi,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
28534,2016,6,1,21,63.0,6.0,77.0,500,113.0,24.6,1008.1,8.1,0.0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36.0
17848,2015,3,14,15,130.0,51.0,63.0,1700,52.0,9.5,1013.2,-7.2,0.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,116.0
109,2013,3,5,12,147.0,76.0,68.0,1800,33.0,12.3,1012.3,-7.2,0.0,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127.0
17238,2015,2,17,5,28.0,14.0,7.0,300,73.0,2.0,1020.0,-11.2,0.0,2.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0
27663,2016,4,26,14,130.0,41.0,43.0,2000,113.0,21.6,1011.7,3.7,0.0,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0
9792,2014,4,12,23,161.0,37.0,78.0,1500,36.0,13.0,1013.7,2.8,0.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91.0
14617,2014,10,31,0,198.0,4.0,95.0,2100,2.0,10.8,1019.0,8.7,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191.0
25326,2016,1,20,5,38.0,6.0,48.0,700,2.0,-9.4,1032.1,-17.7,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.0
19628,2015,5,27,19,96.0,8.0,28.0,800,238.0,29.0,999.2,12.0,0.0,2.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90.0
21035,2015,7,25,10,68.0,2.0,36.0,900,61.0,28.1,998.1,20.9,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0
5450,2013,10,14,1,69.0,2.0,61.0,1000,1.0,13.6,1016.8,11.1,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64.0
18437,2015,4,8,4,115.0,13.0,76.0,1000,2.0,4.2,1022.7,-4.5,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0
25524,2016,1,28,11,81.0,21.0,43.0,1300,28.0,-1.3,1027.2,-17.1,0.0,2.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81.0
7032,2013,12,18,23,58.0,25.0,53.0,1400,8.0,-5.6,1027.0,-16.2,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60.0
9945,2014,4,19,8,86.0,28.0,59.0,700,46.0,13.8,1018.7,3.0,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49.0
28026,2016,5,11,17,130.0,5.0,31.0,1000,196.0,26.5,994.7,15.2,0.0,2.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125.0
15223,2014,11,25,6,100.0,9.0,61.0,2100,5.0,-0.3,1010.0,-4.0,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.0
16536,2015,1,18,23,28.0,2.0,8.0,200,69.0,2.0,1019.0,-16.5,0.0,3.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
8491,2014,2,17,18,81.0,62.0,72.0,1700,46.0,2.1,1030.9,-14.1,0.0,1.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96.0
17911,2015,3,17,6,284.0,5.0,54.0,1900,6.0,5.6,1014.9,3.6,0.0,1.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,284.0
21675,2015,8,21,2,13.0,7.0,18.0,200,29.0,21.0,1004.1,13.9,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.0
1184,2013,4,19,7,64.0,32.0,45.0,1000,41.0,7.5,1023.5,-5.3,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33.0
18761,2015,4,21,16,81.0,4.0,22.0,400,96.0,25.1,1003.2,-1.7,0.0,2.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0
17807,2015,3,12,22,148.0,36.0,106.0,2300,8.0,7.4,1014.3,-10.9,0.0,2.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123.0
32908,2016,12,1,3,21.0,11.0,72.0,800,14.0,-2.3,1025.5,-7.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0
5889,2013,11,1,8,120.0,1.0,63.0,1300,0.6426,6.9,1024.6,3.9,0.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110.0
23424,2015,11,1,23,131.0,2.0,89.0,1400,2.0,5.5,1018.2,1.6,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.0
34184,2017,1,23,7,13.0,21.0,19.0,500,51.0,-9.2,1033.0,-19.8,0.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
14964,2014,11,14,11,14.0,13.0,28.0,300,49.0,9.7,1016.0,-14.2,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0
14927,2014,11,12,22,19.0,2.0,15.0,200,55.0,4.9,1006.0,-18.2,0.0,4.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
29642,2016,7,18,1,125.0,2.0,33.0,2200,66.0,24.6,1003.8,20.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125.0
11464,2014,6,21,15,58.0,6.0,12.0,800,184.0,27.9,1003.6,14.9,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.0
5636,2013,10,21,19,161.0,6.0,126.0,1100,2.0,9.2,1020.0,5.9,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82.0
2390,2013,6,8,13,243.0,4.0,44.0,2700,8.0,20.9,1004.5,19.4,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,219.0
9105,2014,3,15,8,131.0,32.0,67.0,1300,6.0,6.9,1008.6,-9.5,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.0
4885,2013,9,20,12,12.0,1.0,4.0,200,94.0,27.1,1011.7,9.4,0.0,2.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
2990,2013,7,3,13,11.0,3.0,10.0,300,151.0,36.2,991.3,16.9,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.0
6895,2013,12,13,6,41.0,16.0,43.0,2500,1.0,-9.9,1023.9,-16.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.0
9517,2014,4,1,12,70.0,23.0,55.0,900,100.0,22.8,1008.1,2.8,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130.0
27113,2016,4,3,16,21.0,2.0,17.0,300,86.0,19.5,1013.8,-17.3,0.0,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.0
21547,2015,8,15,18,14.0,2.0,12.0,300,120.0,33.5,1000.0,12.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
25124,2016,1,11,19,52.0,12.0,61.0,1000,18.0,-4.0,1031.6,-21.2,0.0,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.0
4270,2013,8,25,21,97.0,3.0,40.0,600,119.0,26.1,1000.6,18.5,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.0
31745,2016,10,13,16,172.0,12.0,94.0,1300,100.0,20.6,1013.8,12.8,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.0
34831,2017,2,19,6,145.0,27.0,103.0,2000,2.0,-0.5,1003.1,-7.3,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145.0
28161,2016,5,17,8,101.0,6.0,67.0,600,17.0,20.4,1006.4,8.7,0.0,1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.0
12632,2014,8,9,7,163.0,5.0,44.0,1400,44.0,24.9,1004.4,19.7,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145.0
6644,2013,12,2,19,142.0,35.0,90.0,2300,5.0,1.4,1015.8,-7.7,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,106.0
6912,2013,12,13,23,77.0,48.0,58.0,1900,3.0,-4.4,1022.7,-16.6,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.0
27370,2016,4,14,9,23.0,2.0,13.0,100,79.0,17.5,1013.9,-3.3,0.0,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
11199,2014,6,10,14,130.0,9.0,22.0,1100,143.0,23.9,1004.8,18.3,0.1,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.0
33255,2016,12,15,14,31.0,5.0,13.0,300,67.0,4.6,1029.5,-15.3,0.0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
23999,2015,11,25,22,15.0,5.0,13.0,500,54.0,-8.4,1032.1,-21.2,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.0
859,2013,4,5,18,8.0,3.0,20.0,400,66.0,9.0,1017.4,-8.6,0.0,3.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0
29511,2016,7,12,14,12.0,2.0,19.0,400,66.0,25.4,997.4,22.1,0.2,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
26682,2016,3,16,17,268.0,50.0,47.0,1800,175.0,16.1,1010.9,0.2,0.0,2.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,268.0
31635,2016,10,9,2,38.0,2.0,19.0,900,2.0,5.7,1021.1,3.2,0.0,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.0
22299,2015,9,16,2,154.0,9.0,30.0,900,15.0,16.7,1015.3,14.7,0.0,1.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,154.0
6873,2013,12,12,8,41.0,6.0,16.0,1000,50.0,-0.5,1018.8,-22.0,0.0,6.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
26375,2016,3,3,22,402.0,35.0,141.0,4100,7.0,6.4,1011.4,1.3,0.0,1.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,402.0
1233,2013,4,21,8,175.0,8.0,53.0,1300,6.0,10.3,1017.8,2.9,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130.0
29298,2016,7,3,17,28.0,2.0,16.0,400,130.0,31.7,1001.0,16.4,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.0
22647,2015,9,30,14,43.0,3.0,41.0,700,51.0,19.9,1013.8,11.4,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43.0
33562,2016,12,28,9,155.0,18.0,71.0,3100,6.0,-4.8,1028.5,-9.3,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136.0
1171,2013,4,18,18,18.0,3.0,9.0,400,89.0,12.8,1018.0,-15.0,0.0,2.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
6039,2013,11,7,14,38.0,5.0,35.0,400,46.4814,14.6,1015.3,-8.2,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.0
2186,2013,5,31,1,108.0,19.0,41.0,500,96.0,22.2,1000.0,9.7,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62.0
2258,2013,6,3,1,154.0,10.0,38.0,1899,53.0,19.4,999.8,16.8,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,148.0
16680,2015,1,24,23,116.0,2.0,72.0,2500,10.0,-1.0,1023.0,-2.4,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,116.0
11519,2014,6,23,22,87.0,4.0,77.0,500,71.0,23.6,1002.7,15.4,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.0
33131,2016,12,10,10,18.0,11.0,20.0,600,43.0,-0.1,1027.6,-12.7,0.0,2.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.0
12852,2014,8,18,11,87.0,3.0,14.0,700,128.0,29.2,1008.8,18.0,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39.0
24577,2015,12,20,0,201.0,18.0,89.0,3600,9.0,-1.7,1027.6,-5.4,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201.0
300,2013,3,13,11,6.0,12.0,10.0,300,74.0,5.0,1027.9,-16.2,0.0,2.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
2301,2013,6,4,20,25.0,3.0,28.0,1200,62.0,19.2,1009.9,17.3,0.0,1.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62.0
18515,2015,4,11,10,193.0,38.0,37.0,2600,83.0,14.9,1017.3,7.7,0.0,2.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,193.0
14800,2014,11,7,15,90.0,23.0,41.0,1300,31.0,8.6,1019.0,-6.4,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.0
18218,2015,3,30,1,297.0,41.0,62.0,1000,17.0,14.6,1006.8,4.6,0.0,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117.0
1975,2013,5,22,6,240.0,31.0,91.0,1899,7.0,20.0,1007.1,9.5,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.0
28864,2016,6,15,15,13.0,2.0,10.0,200,131.0,29.9,997.1,11.9,0.0,1.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.0
13625,2014,9,19,16,75.0,4.0,30.0,600,140.0,21.6,1005.6,12.4,0.0,2.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75.0
9598,2014,4,4,21,94.0,2.0,9.0,200,99.0,15.1,1016.6,-13.2,0.0,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0
8445,2014,2,15,20,383.0,49.0,122.0,3300,4.0,-2.2,1021.6,-5.5,0.0,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,462.0
17383,2015,2,23,6,46.0,21.0,11.0,300,46.0,-5.0,1018.0,-14.9,0.0,1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0
1911,2013,5,19,14,103.0,3.0,21.0,600,65.0,26.0,994.8,-8.0,0.0,8.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92.0
17572,2015,3,3,3,18.0,2.0,4.0,200,80.0,4.0,1016.1,-21.2,0.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
16099,2014,12,31,18,32.0,7.0,18.0,300,51.0,-1.6,1029.0,-25.7,0.0,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
8941,2014,3,8,12,146.0,92.0,69.0,2200,30.0,7.7,1018.2,-6.1,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119.0
4835,2013,9,18,10,63.0,1.0,26.0,1800,11.0,22.4,1017.2,19.2,0.0,2.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.0
18297,2015,4,2,8,62.0,2.0,45.0,1000,21.0,5.0,1000.5,2.9,0.0,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62.0
4665,2013,9,11,8,40.0,1.0,21.0,600,12.0,19.7,1013.2,12.9,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0
32242,2016,11,3,9,127.0,4.0,64.0,2000,5.0,3.7,1017.1,-0.1,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98.0
21605,2015,8,18,4,23.0,2.0,11.0,500,120.0,23.3,1005.9,15.4,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.0
13509,2014,9,14,20,60.0,2.0,43.0,500,11.0,17.3,1015.7,12.0,0.0,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
22146,2015,9,9,17,14.0,2.0,4.0,300,49.0,22.3,1016.6,14.4,0.0,4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0
27587,2016,4,23,10,28.0,2.0,14.0,200,74.0,18.5,1012.8,-12.6,0.0,3.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
32015,2016,10,24,22,134.0,2.0,48.0,1400,2.0,8.871428571000001,1011.0,7.6,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,101.0
19270,2015,5,12,21,90.0,8.0,65.0,500,60.0,18.3,989.8,9.4,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0
34383,2017,1,31,14,66.0,24.0,26.0,1100,79.0,4.7,1022.4,-22.4,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.0
9225,2014,3,20,8,32.0,5.0,49.0,500,31.0,10.9,1025.9,-11.9,0.0,4.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.0
17108,2015,2,11,19,29.0,8.0,88.0,400,14.0,3.0,1012.0,-12.1,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.0
9099,2014,3,15,2,129.0,27.0,79.0,1300,2.0,3.4,1007.9,-8.9,0.0,1.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70.0
5460,2013,10,14,11,26.0,1.0,8.0,200,54.0,14.2,1024.6,-2.3,0.0,3.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
26158,2016,2,23,21,28.0,6.0,24.0,400,54.0,-2.0,1035.4,-20.4,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0
6048,2013,11,7,23,202.0,13.0,59.0,1300,1.7136,4.3,1017.2,-3.5,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97.0
10346,2014,5,6,1,122.0,14.0,73.0,800,19.0,12.3,1010.2,-0.9,0.0,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49.0
15886,2014,12,22,21,162.0,35.0,132.0,3100,11.0,-3.0,1020.0,-9.9,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.0
21892,2015,8,30,3,36.0,2.0,12.0,900,59.0,21.8,1007.4,16.5,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
1999,2013,5,23,6,122.0,17.0,66.0,800,23.0,18.8,1009.3,9.0,0.0,1.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44.0
25401,2016,1,23,8,41.0,2.0,9.0,800,65.0,-16.8,1041.7,-35.1,0.0,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
636,2013,3,27,11,226.0,38.0,47.0,1399,32.0,15.1,1006.0,0.5,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0
25212,2016,1,15,11,87.0,17.0,58.0,1700,11.0,-0.1,1015.8,-15.2,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0
29793,2016,7,24,8,44.0,2.0,40.0,700,16.0,26.1,1001.4,23.2,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
3090,2013,7,7,17,103.0,10.0,15.0,1100,253.0,31.3,994.6,23.4,0.0,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,164.0
28239,2016,5,20,14,80.0,34.0,31.0,1200,224.0,27.7,1012.3,8.0,0.0,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
34994,2017,2,26,1,17.0,13.0,30.0,400,62.0,0.9,1021.5,-7.6,0.0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
13578,2014,9,17,17,71.0,5.0,84.0,800,55.0,20.7,1016.6,11.3,0.0,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71.0
11303,2014,6,14,22,155.0,2.0,47.0,1000,165.0,26.3,1002.2,19.9,0.0,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110.0
16691,2015,1,25,10,129.0,2.0,69.0,2600,10.0,1.0,1025.0,-2.2,0.0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129.0
33741,2017,1,4,20,361.0,39.0,175.0,9300,4.0,0.6,1023.9,-3.0,0.0,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,345.0
27074,2016,4,2,1,9.0,2.0,11.0,100,71.0,13.2,1013.8,-4.9,0.0,3.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
11282,2014,6,14,1,35.0,2.0,26.0,400,50.0,19.4,1004.2,17.5,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.0
24392,2015,12,12,7,36.0,8.0,48.0,1000,2.0,-1.4,1023.3,-6.7,0.0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36.0
27398,2016,4,15,13,87.0,26.0,57.0,1300,63.0,19.5,1007.0,0.0,0.0,1.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72.0
34566,2017,2,8,5,70.0,28.0,47.0,1300,13.0,-4.2,1026.8,-9.0,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70.0
8517,2014,2,18,20,103.0,35.0,84.0,1500,8.0,0.1,1025.8,-9.9,0.0,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.0
13370,2014,9,9,1,162.0,9.0,38.0,700,2.0,17.4,1006.2,11.7,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
21224,2015,8,2,7,21.0,2.0,17.0,1600,52.0,22.7,1000.0,22.0,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.0
5407,2013,10,12,6,58.0,1.0,44.0,600,22.0,10.1,1016.2,6.2,0.0,2.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0
16297,2015,1,9,0,175.0,54.0,91.0,3100,14.0,-6.0,1023.0,-11.7,0.0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,175.0
30079,2016,8,5,6,59.0,2.0,21.0,400,36.0,26.0,1007.0,23.1,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59.0
5098,2013,9,29,9,198.0,5.0,47.0,1400,8.0,17.2,1015.7,13.9,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,184.0
19494,2015,5,22,5,76.0,6.0,70.0,800,16.0,14.4,1007.3,8.8,0.0,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.0
25715,2016,2,5,10,18.0,3.0,12.0,300,70.0,-0.8,1028.2,-20.5,0.0,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
28165,2016,5,17,12,106.0,12.0,56.0,700,123.0,27.9,1005.9,9.7,0.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88.0
5276,2013,10,6,19,175.0,15.0,52.0,2800,10.0,16.2,1017.7,14.6,0.0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,149.0
12183,2014,7,21,14,13.0,2.0,13.0,400,100.0,33.9,998.0,16.7,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
3979,2013,8,13,18,105.0,4.0,23.1989,1400,173.0,29.4,999.9,24.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105.0
32797,2016,11,26,12,317.0,48.0,104.0,2800,18.0,6.8,1016.6,-6.9,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239.0
8176,2014,2,4,15,13.0,9.0,8.0,400,74.0,0.2,1024.1,-27.9,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
8224,2014,2,6,15,83.0,61.0,37.0,1200,61.0,1.4,1026.3,-13.2,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91.0
6923,2013,12,14,10,12.0,12.0,20.0,1300,45.0,0.4,1026.9,-21.2,0.0,3.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
33251,2016,12,15,10,57.0,9.0,14.0,500,56.0,1.4,1031.4,-14.7,0.0,5.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.0
316,2013,3,14,3,63.0,4.0,57.0,1100,83.0,-1.0,1027.0,-4.9,0.0,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0
7854,2014,1,22,5,69.0,57.0,58.0,1600,3.0,-6.9,1021.6,-16.9,0.0,1.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69.0
34673,2017,2,12,16,138.0,62.0,87.0,300,48.0,9.8,1021.0,-13.5,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112.0
6327,2013,11,19,14,7.0,5.0,9.0,300,53.9784,7.6,1019.0,-14.6,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
34686,2017,2,13,5,113.0,20.0,76.0,3100,2.0,-3.3,1026.3,-10.6,0.0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94.0
25458,2016,1,25,17,33.0,10.0,31.0,100,46.0,0.9,1023.2,-23.7,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0
24436,2015,12,14,3,362.0,14.0,92.0,7800,10.0,0.0,1021.4,-0.9,0.5,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,362.0
16805,2015,1,30,4,7.0,2.0,12.0,300,59.0,-7.0,1029.0,-22.5,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
24339,2015,12,10,2,295.0,8.0,66.0,4100,3.0,-0.1,1019.8,-1.0,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,295.0
26326,2016,3,1,21,186.0,34.0,134.0,2400,2.0,2.5,1017.0,-8.3,0.0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,168.0
