No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Tiantan,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
22337,2015,9,17,16,101.0,25.0,17.0,1000,172.0,26.8,1010.8,16.1,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.0
16333,2015,1,10,12,309.0,86.0,194.0,6400,16.0,7.0,1016.0,-11.7,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300.0
32279,2016,11,4,22,202.0,2.0,125.0,3100,14.0,6.7,1003.9,6.1,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0
24074,2015,11,29,1,241.0,24.0,99.0,5000,3.0,-1.0,1023.7,-3.0,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.0
22028,2015,9,4,19,45.0,2.0,42.0,2100,61.0,19.4,1007.2,18.9,0.9,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
4014,2013,8,15,5,81.0,6.0,35.0,1000,33.0,26.7,999.4,25.5,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78.0
2010,2013,5,23,17,215.0,70.0,25.0,2200,235.0,28.6,1002.7,10.3,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99.0
4978,2013,9,24,9,44.0,13.0,52.0,600,6.0,16.8,1020.1,0.4,0.0,2.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0
18483,2015,4,10,2,234.0,2.0,60.0,1300,7.0,8.9,1015.6,6.0,0.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,234.0
2317,2013,6,5,12,143.0,3.0,40.0,1500,28.0,19.3,1007.9,18.1,0.0,2.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0
17686,2015,3,7,21,229.0,41.0,88.0,1700,34.0,4.9,1015.0,-1.8,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,224.0
4109,2013,8,19,4,38.0,3.0,79.0,800,4.0,23.3,1006.5,17.7,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
18727,2015,4,20,6,107.0,2.0,28.0,900,2.0,6.7,1012.1,5.6,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0
5027,2013,9,26,10,107.0,14.0,68.0,1400,21.0,20.4,1015.1,5.2,0.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.0
3432,2013,7,21,23,103.0,3.0,42.0,700,27.0,24.4,1001.2,21.1,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.0
12060,2014,7,16,11,173.0,9.0,57.0,1300,90.0,26.9,1000.5,22.3,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,173.0
19281,2015,5,13,8,88.0,3.0,84.0,800,15.0,18.1,990.8,6.9,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38.0
5823,2013,10,29,14,6.0,5.0,29.0,300,63.0,16.6,1022.6,-7.2,0.0,1.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
26311,2016,3,1,6,106.0,12.0,79.0,2500,2.0,-3.8,1022.5,-10.7,0.0,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96.0
15554,2014,12,9,1,152.0,18.0,80.0,2800,7.0,-5.0,1034.0,-11.0,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117.0
34827,2017,2,19,2,170.0,27.0,118.0,2000,2.0,1.3,1006.3,-6.8,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0
33559,2016,12,28,6,185.0,6.0,66.0,1900,2.0,-3.5,1026.0,-7.3,0.0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.0
16305,2015,1,9,8,37.0,22.0,51.0,500,25.0,-1.0,1028.0,-17.3,0.0,2.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
15186,2014,11,23,17,172.0,18.0,113.0,2500,5.0,5.0,1020.0,0.4,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122.0
21343,2015,8,7,6,131.0,7.0,49.0,1200,26.0,23.7,1007.6,22.5,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.0
3061,2013,7,6,12,79.0,14.0,10.0,800,218.0,35.4,996.5,17.1,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43.0
331,2013,3,14,18,103.0,91.0,60.0,1100,69.0,6.9,1020.4,-4.8,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92.0
27871,2016,5,5,6,71.0,25.0,48.0,1300,53.0,18.2,1001.7,1.2,0.0,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
15893,2014,12,23,4,237.0,23.0,103.0,4700,12.0,-6.0,1014.0,-12.3,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0
32190,2016,11,1,5,19.0,6.0,40.0,100,5.0,-2.7,1032.2,-6.7,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
24266,2015,12,7,1,211.0,26.0,113.0,3800,3.0,1.0,1027.6,-2.8,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,198.0
13078,2014,8,27,21,115.0,8.0,27.0,700,116.0,27.5,1009.1,16.1,0.0,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75.0
11722,2014,7,2,9,45.0,2.0,26.0,900,98.0,23.0,999.8,21.1,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
2540,2013,6,14,19,160.0,15.0,40.0,2299,232.0,28.7,1002.9,12.6,0.0,3.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125.0
15300,2014,11,28,11,123.0,31.0,73.0,1600,13.0,6.0,1018.0,-6.6,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69.0
28826,2016,6,14,1,63.0,2.0,17.0,700,48.0,19.1,995.5,17.6,0.1,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63.0
30304,2016,8,14,15,42.0,5.0,22.0,400,199.0,33.4,1001.4,17.6,0.0,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
1407,2013,4,28,14,131.0,56.0,50.0,1800,108.0,18.0,1003.2,6.5,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91.0
31988,2016,10,23,19,55.0,4.0,44.0,500,18.0,12.22,1017.0,2.7,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.0
17287,2015,2,19,6,394.0,83.0,57.0,1900,11.0,-1.0,1028.0,-11.5,0.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,347.0
29522,2016,7,13,1,18.0,4.0,38.0,500,41.0,24.4,999.2,20.5,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
20113,2015,6,17,0,72.0,3.0,56.0,1100,133.0,23.2,998.7,16.3,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69.0
12894,2014,8,20,5,119.0,13.0,32.0,1000,56.0,21.9,1005.8,19.3,0.0,0.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0
11370,2014,6,17,17,157.0,2.0,21.0,1200,157.0,20.5,997.8,18.6,6.1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0
13167,2014,8,31,14,75.0,2.0,18.0,1200,148.0,25.6,1007.8,19.7,0.0,3.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0
14686,2014,11,2,21,29.0,2.0,52.0,500,5.0,10.0,1015.0,-10.2,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
19141,2015,5,7,12,102.0,7.0,47.0,600,94.0,22.4,1006.5,0.2,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43.0
5066,2013,9,28,1,225.0,9.0,62.0,1200,38.0,16.1,1006.3,8.3,0.0,1.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,192.0
25313,2016,1,19,16,97.0,32.0,58.0,1300,45.0,-1.8,1025.8,-22.4,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74.0
4781,2013,9,16,4,56.0,1.0,53.0,900,1.0,16.3,1008.9,15.3,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
22118,2015,9,8,13,53.0,15.0,21.0,600,187.0,26.2,1010.4,11.9,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
30796,2016,9,4,3,107.0,3.0,96.0,900,9.0,23.6,1005.6,18.3,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.0
3416,2013,7,21,7,107.0,4.0,75.0,900,8.0,26.7,1001.8,22.8,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67.0
7103,2013,12,21,22,206.0,47.0,114.0,2600,2.0,-4.8,1030.0,-13.2,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,182.0
13944,2014,10,2,23,77.0,2.0,49.0,1400,2.0,11.7,1012.0,11.2,0.0,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77.0
15116,2014,11,20,19,367.0,7.0,150.0,3700,6.0,2.0,1014.0,-0.1,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,306.0
29785,2016,7,24,0,47.0,2.0,50.0,1100,16.0,24.6,999.3,23.0,0.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47.0
17236,2015,2,17,3,17.0,11.0,22.0,400,62.0,3.0,1019.0,-11.0,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
13178,2014,9,1,1,85.0,2.0,63.0,1700,8.0,21.1,1009.8,20.1,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
34459,2017,2,3,18,260.0,47.0,63.0,2700,79.0,0.9,1016.8,-12.9,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,230.0
12057,2014,7,16,8,212.0,5.0,75.0,1200,10.0,26.1,1000.5,21.7,0.0,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0
34548,2017,2,7,11,45.0,21.0,29.0,100,62.0,0.9,1028.4,-6.9,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45.0
21323,2015,8,6,10,21.0,2.0,60.0,700,61.0,25.2,1003.5,18.4,0.0,1.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0
22725,2015,10,3,20,80.0,2.0,53.0,800,75.0,20.7,1017.1,10.2,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33.0
33294,2016,12,17,5,134.0,2.0,81.0,2700,2.0,-3.5,1017.7,-8.8,0.0,0.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0
30408,2016,8,18,23,59.0,2.0,46.0,2400,10.0,23.2,998.5,22.4,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0
7774,2014,1,18,21,121.0,50.0,103.0,2500,2.0,0.4,1027.4,-11.3,0.0,3.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0
8368,2014,2,12,15,110.0,67.0,49.0,1100,64.0,3.2,1027.5,-15.0,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118.0
18176,2015,3,28,7,176.0,8.0,31.0,400,68.0,16.1,1007.9,-4.5,0.0,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59.0
31706,2016,10,12,1,51.0,5.0,60.0,800,8.0,13.0,1021.4,7.9,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0
8170,2014,2,4,9,28.0,19.0,42.0,600,40.0,-2.9,1027.6,-29.4,0.0,3.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0
6897,2013,12,13,8,62.0,17.0,46.0,1200,1.7136,-4.0,1024.1,-17.2,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0
1574,2013,5,5,13,259.0,66.0,60.0,1500,161.0,27.3,1011.8,10.5,0.0,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,193.0
6944,2013,12,15,7,14.0,15.0,46.0,500,17.0,-3.8,1030.3,-20.5,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
25528,2016,1,28,15,91.0,29.0,61.0,1200,51.0,3.7,1024.6,-18.5,0.0,2.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0
2688,2013,6,20,23,183.0,29.0,82.0,2600,37.0,25.7,1005.5,18.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,138.0
5538,2013,10,17,17,130.0,43.0,54.0,900,85.0,14.9,1021.0,3.7,0.0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,104.0
6872,2013,12,12,7,27.0,11.0,32.0,500,32.0,-0.6,1017.4,-19.2,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.0
1726,2013,5,11,21,119.0,3.0,63.0,600,16.0,19.3,993.6,-0.2,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26.0
27920,2016,5,7,7,104.0,2.0,61.0,500,10.0,18.5,1015.2,-5.6,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21.0
32887,2016,11,30,6,228.0,3.0,56.0,3200,2.0,-0.7,1020.4,-2.1,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117.0
14092,2014,10,9,3,240.0,2.0,54.0,2600,4.0,11.9,1014.5,11.6,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.0
12356,2014,7,28,19,104.0,3.0,13.0,700,193.0,31.4,998.3,19.7,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.0
17937,2015,3,18,8,50.0,16.0,71.0,1000,13.0,7.1,1013.8,-7.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.0
7302,2013,12,30,5,13.0,20.0,58.0,600,47.0,3.6,1011.7,-20.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0
21485,2015,8,13,4,115.0,4.0,46.0,1000,17.0,24.5,1000.9,21.8,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0
30774,2016,9,3,5,29.0,2.0,37.0,300,2.0,20.9,1002.8,17.1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
5204,2013,10,3,19,85.0,15.0,38.0,700,81.0,16.6,1013.0,14.1,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
27888,2016,5,5,23,728.0,2.0,12.0,200,106.0,20.2,1003.8,-12.4,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,152.0
20199,2015,6,20,14,18.0,2.0,23.0,400,170.0,29.5,1006.6,12.9,0.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0
29632,2016,7,17,15,134.0,7.0,30.0,1300,243.0,30.2,1002.1,18.0,0.0,2.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0
30468,2016,8,21,11,76.0,2.0,46.0,900,146.0,31.1,1005.7,22.1,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0
11103,2014,6,6,14,7.0,2.0,28.0,500,56.0,19.0,1000.7,16.2,2.5,3.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0
22799,2015,10,6,22,264.0,2.0,119.0,2500,2.0,17.9,1011.3,16.1,0.0,0.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,264.0
11570,2014,6,26,1,193.0,6.0,33.0,1400,51.0,23.4,999.3,20.9,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,193.0
31249,2016,9,23,0,128.0,2.0,58.0,1200,45.0,20.3,1010.25,16.8,0.8,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,128.0
31701,2016,10,11,20,102.0,4.0,89.0,1100,2.0,14.3,1019.7,9.3,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85.0
35063,2017,2,28,22,42.0,5.0,52.0,600,44.0,10.5,1014.4,-12.9,0.0,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
14884,2014,11,11,3,130.0,2.0,59.0,2500,3.0,3.0,1012.0,0.7,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,130.0
6132,2013,11,11,11,26.0,13.0,38.0,600,32.7726,12.0,1024.1,-12.4,0.0,2.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
21287,2015,8,4,22,82.0,8.0,44.0,900,94.0,26.5,998.7,21.3,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0
26285,2016,2,29,4,16.0,2.0,38.0,600,34.0,-6.3,1030.8,-16.6,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
26645,2016,3,15,4,155.0,53.0,69.0,1100,26.0,9.2,1014.1,-8.9,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110.0
19780,2015,6,3,3,106.0,5.0,39.0,600,45.0,18.9,1010.5,10.7,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
20816,2015,7,16,7,57.0,2.0,36.0,1000,101.0,21.1,1003.7,19.6,0.1,3.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57.0
12675,2014,8,11,2,122.0,4.0,88.0,1100,39.0,22.0,1000.2,19.9,0.0,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0
34526,2017,2,6,13,19.0,4.0,16.0,300,78.0,4.5,1028.2,-22.5,0.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
6857,2013,12,11,16,55.0,19.0,35.0,600,48.0,4.1,1012.7,-16.9,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0
32982,2016,12,4,5,574.0,7.0,113.0,6200,2.0,-0.7,1012.1,-1.4,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,436.0
14021,2014,10,6,4,13.0,2.0,48.0,500,2.0,5.8,1022.3,5.2,0.0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
28609,2016,6,5,0,178.0,18.0,52.0,1100,127.0,24.1,1004.8,13.3,0.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90.0
28911,2016,6,17,14,92.0,2.0,22.0,400,144.0,30.0,994.6,12.9,0.0,3.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
24185,2015,12,3,16,17.0,5.0,19.0,400,48.0,0.5,1021.2,-14.7,0.0,6.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0
13363,2014,9,8,18,29.0,2.0,22.0,300,121.0,25.2,1004.4,5.9,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0
7457,2014,1,5,16,19.0,12.0,38.0,500,54.0,3.7,1020.4,-12.3,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
24372,2015,12,11,11,12.0,5.0,40.0,500,41.0,2.8,1026.9,-11.2,0.0,3.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0
33539,2016,12,27,10,37.0,8.0,30.0,600,43.0,-0.3,1033.7,-15.8,0.0,3.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0
17378,2015,2,23,1,77.0,14.0,28.0,500,43.0,0.0,1015.0,-18.2,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.0
6611,2013,12,1,10,45.0,40.0,64.0,1700,5.0,7.6,1020.6,-11.7,0.0,1.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
26230,2016,2,26,21,105.0,10.0,90.0,1300,4.0,5.3,1018.8,-13.2,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68.0
26206,2016,2,25,21,31.0,2.0,32.0,400,54.0,4.9,1027.7,-18.2,0.0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
33849,2017,1,9,8,18.0,6.0,38.0,400,37.0,-1.175,1024.75,-14.4,0.0,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
24961,2016,1,5,0,14.0,7.0,33.0,500,46.0,-3.9,1027.7,-19.4,0.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0
14886,2014,11,11,5,87.0,2.0,38.0,1500,20.0,10.0,1013.0,-6.4,0.0,3.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87.0
23043,2015,10,17,2,280.0,2.0,86.0,2800,2.0,12.4,1013.1,11.8,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0
5354,2013,10,10,1,236.0,13.0,101.0,1700,1.0,14.2,1002.6,13.2,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188.0
34198,2017,1,23,21,95.0,8.0,73.0,1600,2.0,-4.533333333,1031.0,-15.6,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72.0
23423,2015,11,1,22,142.0,2.0,96.0,1100,2.0,7.6,1017.3,2.3,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.0
3252,2013,7,14,11,25.0,23.0,17.0,700,104.0,29.5,1004.4,18.6,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90.0
19116,2015,5,6,11,32.0,2.0,23.0,200,98.0,19.9,1008.1,-10.4,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
8425,2014,2,15,0,496.0,22.0,110.0,3800,9.0,-3.9,1020.2,-6.5,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,488.0
7659,2014,1,14,2,181.0,65.0,112.0,3400,4.0,-6.5,1029.5,-17.6,0.0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,159.0
14570,2014,10,29,1,104.0,3.0,56.0,1100,3.0,7.8,1020.7,5.8,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0
5298,2013,10,7,17,6.0,4.0,29.0,400,76.0,19.0,1017.9,8.3,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
24394,2015,12,12,9,83.0,7.0,60.0,1700,2.0,-0.3,1022.9,-6.1,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60.0
3714,2013,8,2,17,125.0,6.0,18.0,3300,208.0,29.7,1002.2,21.4,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124.0
17566,2015,3,2,21,41.0,2.0,21.0,300,74.0,8.5,1009.4,-14.5,0.0,3.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
10424,2014,5,9,7,135.0,84.0,71.0,2900,51.0,16.9,1011.2,4.2,0.0,2.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0
9967,2014,4,20,6,108.0,2.0,73.0,1200,5.0,8.7,1014.3,4.3,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,96.0
17059,2015,2,9,18,162.0,42.0,80.0,1800,50.0,4.0,1021.0,-18.9,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137.0
19100,2015,5,5,19,58.0,2.0,35.0,200,97.0,24.5,1000.1,-7.9,0.0,3.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0
33124,2016,12,10,3,84.0,3.0,74.0,1900,2.0,-4.3,1025.9,-10.3,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.0
2337,2013,6,6,8,90.0,7.0,41.0,2200,3.0,18.4,1007.0,18.1,0.0,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0
33111,2016,12,9,14,19.0,6.0,31.0,500,56.0,4.1,1023.6,-14.7,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.0
25668,2016,2,3,11,40.0,23.0,84.0,1600,13.0,1.3,1024.9,-17.1,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31.0
26234,2016,2,27,1,20.0,6.0,29.0,400,54.0,4.2,1019.9,-9.9,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0
6057,2013,11,8,8,125.0,2.0,41.0,1800,0.6426,5.6,1017.9,-1.8,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99.0
856,2013,4,5,15,6.0,8.0,22.0,400,72.0,12.0,1013.5,-5.5,0.0,5.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.0
22908,2015,10,11,11,39.0,2.0,18.0,400,70.0,18.6,1014.3,1.1,0.0,5.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
18008,2015,3,21,7,138.0,2.0,20.0,200,79.0,11.0,1014.3,-19.5,0.0,2.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
16964,2015,2,5,19,69.0,23.0,62.0,900,41.0,4.0,1025.0,-15.3,0.0,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53.0
22865,2015,10,9,16,44.0,3.0,14.0,300,71.0,18.4,1005.5,-5.0,0.0,5.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
21869,2015,8,29,4,17.0,2.0,19.0,400,81.0,22.5,1004.3,14.3,0.0,1.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
